Team	City	Arena	Founded	First AF2 season	Final AF2 season
Baton Rouge Blaze	Baton Rouge, LA	River Center Arena	2000	2001	2001
Lafayette Roughnecks	Lafayette, LA	CajunDome	2000	2001	2001
Lincoln Lightning	Lincoln, NE	Pershing Municipal Auditorium	1998	2001	2001
Augusta Stallions	Augusta, GA	James Brown Arena	1999	2000	2002
Carolina Rhinos	Greenville, SC	Bi-Lo Center	1999	2000	2002
Jacksonville Tomcats	Jacksonville, FL	Jacksonville Memorial Coliseum	1999	2000	2002
Pensacola Barracudas	Pensacola, FL	Pensacola Civic Center	1999	2000	2002
Roanoke Steam	Roanoke, VA	Roanoke Civic Center	1999	2000	2002
Tallahassee Thunder	Tallahassee, FL	Tallahassee-Leon County Civic Center	1999	2000	2002
Fresno Frenzy	Fresno, CA	Selland Arena	2001	2002	2002
Mobile Wizards	Mobile, AL	Mobile Civic Center	2001	2002	2002
New Haven Ninjas	New Haven, CT	New Haven Coliseum	2001	2002	2002
Charleston Swamp Foxes	North Charleston, SC	North Charleston Coliseum	1999	2000	2003
Greensboro Prowlers	Greensboro, NC	Greensboro Coliseum	1999	2000	2003
Norfolk Nighthawks	Norfolk, VA	Norfolk Scope	1999	2000	2003
Richmond Speed	Richmond, VA	Richmond Coliseum	1999	2000	2003
Rochester Brigade	Rochester, NY	Blue Cross Arena	2000	2001	2003
Cincinnati Swarm	Cincinnati, OH	U.S. Bank Arena	2002	2003	2003
Columbus Wardogs	Columbus, GA	Columbus Civic Center	2000	2001	2004
Wichita Stealth	Wichita, KS	Kansas Coliseum	1999	2001	2004
Hawaiian Islanders	Honolulu, HI	Neal S. Blaisdell Center	2001	2002	2004
Laredo Law	Laredo, TX	Laredo Entertainment Center	2003	2004	2004
San Diego Riptide	San Diego, CA	San Diego Sports Arena	2001	2002	2005
Macon Knights	Macon, GA	Macon Coliseum	2000	2001	2006
Memphis Xplorers	Southaven, MS	DeSoto Civic Center	2000	2001	2006
Alabama Steeldogs	Birmingham, AL	Birmingham Jefferson Convention Center	1999	2000	2007
Bakersfield Blitz	Bakersfield, CA	Rabobank Arena	2003	2004	2007
Everett Hawks	Everett, WA	Everett Events Center	2001	2006	2007
Cincinnati Jungle Kats	Cincinnati, OH	U.S. Bank Arena	2006	2007	2007
Fort Wayne Fusion	Fort Wayne, IN	Allen County War Memorial Coliseum	2006	2007	2007
Laredo Lobos	Laredo, TX	Laredo Entertainment Center	2005	2007	2007
Louisville Fire	Louisville, KY	Freedom Hall	2000	2001	2008
Lubbock Renegades	Lubbock, TX	City Bank Coliseum	2006	2007	2008
Texas Copperheads	Cypress, TX	Richard E. Berry Educational Support Center	2005	2007	2008
Austin Wranglers	Austin, TX	Frank Erwin Center	2003	2008	2008
Daytona Beach ThunderBirds	Daytona Beach, FL	Ocean Center	2005	2008	2008
Mahoning Valley Thunder	Youngstown, OH	Covelli Centre	2007	2007	2009
Arkansas Twisters	North Little Rock, Arkansas	Verizon Arena	1999	2000	2009
Central Valley Coyotes	Fresno, California	Selland Arena	2001	2002	2009
Kentucky Horsemen	Lexington, Kentucky	Rupp Arena	2002	2008	2009
Tri-Cities Fever	Kennewick, Washington	Toyota Center	2004	2007	2009
