Outcome	Date	Tournament	Surface	Partner	Opponents	Score
Winner	1974	Roanoke , US	Indoors	Sandy Mayer	Ian Crookenden Jeff Simpson	7–6, 6–1
Runner-up	1974	Little Rock , US	Carpet	Bob Hewitt	Jürgen Fassbender Karl Meiler	0–6, 2–6
Winner	1974	Salt Lake City , US	Indoors	Jimmy Connors	Iván Molina Jairo Velasco, Sr.	2–6, 7–6, 7–5
Runner-up	1974	Oslo , Norway	Indoor	Jeff Borowiak	Karl Meiler Haroon Rahim	3–6, 2–6
Winner	1975	Roanoke, US	Indoors	Sandy Mayer	Juan Gisbert Ion Ţiriac	7–6, 1–6, 6–3
Winner	1975	Wimbledon , London	Grass	Sandy Mayer	Colin Dowdeswell Allan Stone	7–5, 8–6, 6–4
Runner-up	1976	Indianapolis WCT , US	Carpet	Tom Gorman	Robert Lutz Stan Smith	2–6, 4–6
Winner	1976	Boca Raton , US	Hard	Clark Graebner	Bruce Manson Butch Walts	6–2, 6–4
Winner	1976	Fort Worth WCT , US	Hard	Sandy Mayer	Eddie Dibbs Harold Solomon	6–4, 7–5
Runner-up	1976	Charlotte WCT , US	Carpet	Gene Mayer	John Newcombe Tony Roche	3–6, 5–7
Runner-up	1976	South Orange , US	Clay	Ilie Năstase	Fred McNair Marty Riessen	5–7, 6–4, 2–6
Runner-up	1977	Masters Doubles WCT , New York	Carpet	Adriano Panatta	Vijay Amritraj Dick Stockton	6–7, 6–7, 6–4, 3–6
Winner	1977	Brisbane , Australia	Grass	Bill Scanlon	Mal Anderson Ken Rosewall	7–6, 6–4
Winner	1978	Birmingham WCT , US	Carpet	Sandy Mayer	Frew McMillan Dick Stockton	3–6, 6–1, 7–6
Runner-up	1978	Philadelphia WCT , US	Carpet	Sandy Mayer	Bob Hewitt Frew McMillan	4–6, 4–6
Runner-up	1978	Richmond WCT , US	Carpet	Sandy Mayer	Bob Hewitt Frew McMillan	3–6, 5–7
Runner-up	1980	Monte Carlo , Monaco	Clay	John McEnroe	Paolo Bertolucci Adriano Panatta	2–6, 7–5, 3–6
Runner-up	1980	Sydney Outdoor , Australia	Grass	Brian Gottfried	Peter McNamara Paul McNamee	2–6, 4–6
Runner-up	1981	Frankfurt , Germany	Carpet	John McEnroe	Brian Teacher Butch Walts	5–7, 7–6, 5–7
Runner-up	1985	Rotterdam , Netherlands	Carpet	Paul McNamee	Pavel Složil Tomáš Šmíd	4–6, 4–6
