No. in series	No. in season	Title	Directed by	Written by	Original U.S. air date	Prod. code	Viewers (millions)
22	1	"The Spy Who Shoved Me"	Shelley Jensen	Jim Geoghan	August7,2009	205	4.9
23	2	"Ala-ka-scram!"	Shelley Jensen	Billy Riback	August14,2009	206	4.1
24	3	"In the Line of Duty"	Rich Correll	Jeff Hodsden & Tim Pollock	August21,2009	203	4.3
25	4	"Kitchen Casanova"	Rich Correll	Jeny Quine & Dan Signer	September4,2009	202	3.7
26	5	"Smarticle Particles"	Rich Correll	Adam Lapidus	September11,2009	201	4.0
27	6	"Family Thais"	Rich Correll	Jeff Hodsden & Tim Pollock	September18,2009	209	4.5
28	7	"Goin' Bananas"	Phill Lewis	Jeny Quine & Dan Signer	September25,2009	204	4.0
29	8	"Lost at Sea"	Rich Correll	Danny Kallis & Pamela Eells O'Connell	October2,2009	207–208	7.6
30	9	"Roomies"	Danny Kallis	Danny Kallis & Pamela Eells O'Connell	October16,2009	210	4.7
31	10	"Crossing Jordin"	Mark Cendrowski	Jeff Hodsden & Tim Pollock	October23,2009	213	5.2
32	11	"Bermuda Triangle"	Phill Lewis	Adam Lapidus & Jeny Quine	November13,2009	211	4.8
33	12	"The Beauty and the Fleeced"	Lex Passaris	Dan Signer	November20,2009	212	4.8
34	13	"The Swede Life"	Ellen Gittelsohn	Jeff Hodsden & Tim Pollock	December4,2009	215	N/A
35	14	"Mother of the Groom"	Rich Correll	Danny Kallis	January8,2010	217	3.8
36	15	"The Defiant Ones"	Rich Correll	Dan Signer	January15,2010	218	4.0
38	17	"Rollin' With the Holmies"	Mark Cendrowski	Jim Geoghan & Dan Signer	January29,2010	214	N/A
39	18	"Can You Dig It?"	Phill Lewis	Adam Lapidus & Jeny Quine	February12,2010	223	N/A
40	19	"London's Apprentice"	Rich Correll	Pamela Eells O'Connell	February26,2010	219	3.6
41	20	"Once Upon a Suite Life"	Bob Koherr	Jeny Quine & Dan Signer	March5,2010	225	N/A
42	21	"Marriage 101"	Rich Correll	Jeny Quine	March19,2010	221	N/A
43	22	"Model Behavior"	Bob Koherr	Jeff Hodsden & Tim Pollock	March27,2010	228	N/A
44	23	"Rock the Kasbah"	Rich Correll	Adam Lapidus	April16,2010	222	N/A
45	24	"I Brake for Whales"	Rich Correll	Jeny Quine & Adam Lapidus	April23,2010	216	N/A
46	25	"Seven Seas News"	Bob Koherr	Pamela Eells O'Connell	May7,2010	224	3.5
47	26	"Starship Tipton"	Kelly Sandefur	Jeny Quine & Dan Signer	May14,2010	227	N/A
48	27	"Mean Chicks"	Rich Correll	Adam Lapidus	June11,2010	226	N/A
