Institution	Nickname	Location (all in Minnesota)	Founded	Type	Enrollment	Joined
Augsburg College	Auggies	Minneapolis	1869	Private/Lutheran (ELCA)	3785	1924
Bethel University	Royals	Arden Hills	1871	Private/Baptist (BGC)	5596	1977
Carleton College	Knights	Northfield	1866	Private/Non-Sectarian	1958	1920, 1983 3
Concordia College	Cobbers	Moorhead	1891	Private/Lutheran (ELCA)	2788	1921
Gustavus Adolphus College	Gusties	St. Peter	1862	Private/Lutheran (ELCA)	2600	1920
Hamline University	Pipers	St. Paul	1854	Private/Methodist (UMC)	4900	1920
Macalester College	Scots	St. Paul	1874	Private/Non-Sectarian	1996	1920
College of Saint Benedict 1	Blazers	St. Joseph	1913	Private/Catholic	2049	1985
St. Catherine University 1	Wildcats	St. Paul	1905	Private/Catholic	5246	1983
Saint John's University 2	Johnnies	Collegeville	1857	Private/Catholic	1917	1920
Saint Mary's University	Cardinals	Winona	1912	Private/Catholic	7100	1926
St. Olaf College	Oles	Northfield	1874	Private/Lutheran (ELCA)	3007	1920, 1975 4
