Players	Sh/C	Height	Weight	Date of Birth	Club
Shengrong Xia	L	m ()	kg (lb)	November 24, 1994 (age19)	Harbin Ice Hockey Team / Harbin Ice Hockey Team
Jiachang Bao	R	m ()	kg (lb)	January 5, 1993 (age21)	Harbin Ice Hockey / Harbin Ice Hockey Team
Nan Fu	L	m (ft 0in)	kg (lb)	February 16, 1982 (age31)	China Dragon / China Dragon
Longtan Liu	L	m (ft 0in)	kg (lb)	February 14, 1986 (age27)	China Dragon / China Dragon
Tengyi Fu	L	m ()	kg (lb)	December 21, 1986 (age27)	Harbin Ice Hockey Team / Harbin Ice Hockey Team
Tianxiang Xia	L	m (ft 10in)	kg (lb)	September 11, 1993 (age20)	Harbin Ice Hockey Team / Harbin Ice Hockey Team
Chongwei Wang	R	m ()	kg (lb)	December 10, 1988 (age25)	China Dragon / China Dragon
Jin Chen	L	m ()	kg (lb)	August 9, 1992 (age21)	China Dragon / China Dragon
Chao Wen	R	m ()	kg (lb)	August 16, 1992 (age21)	Harbin Ice Hockey Team / Harbin Ice Hockey Team
Xinlei Li	L	m ()	kg (lb)	December 11, 1989 (age24)	Harbin Ice Hockey Team / Harbin Ice Hockey Team
Tianyu Hu	L	m (ft 8in)	kg (lb)	February 19, 1991 (age22)	China Dragon / China Dragon
Qing Liu	R	m ()	kg (lb)	February 25, 1996 (age17)	China Dragon / China Dragon
Zhengyu Li	R	m (ft 10in)	kg (lb)	August 29, 1989 (age24)	China Dragon / China Dragon
Hao Zhang	L	m ()	kg (lb)	July 20, 1989 (age24)	Harbin Ice Hockey Team / Harbin Ice Hockey Team
Peng Ji	L	m (ft 1in)	kg (lb)	January 1, 1996 (age18)	Harbin Ice Hockey Team / Harbin Ice Hockey Team
Tianyi Guan	L	m ()	kg (lb)	February 15, 1991 (age22)	Harbin Ice Hockey Team / Harbin Ice Hockey Team
Ling Chen	L	m ()	kg (lb)	June 17, 1989 (age24)	China Dragon / China Dragon
Mingxi Yang	L	m ()	kg (lb)	January 4, 1991 (age23)	/ China Dragon / China Dragon
Cheng Zhang	L	m ()	kg (lb)	December 29, 1994 (age19)	China Dragon / China Dragon
Jiabing Liu	L	m (ft 11in)	kg (lb)	August 16, 1987 (age26)	Jiamusi / Jiamusi
Ye Fei	L	m ()	kg (lb)	June 3, 1989 (age24)	Harbin Ice Hockey Team
Zhiwei Liu	L	m ()	kg (lb)	August 25, 1988 (age25)	Harbin Ice Hockey Team / Harbin Ice Hockey Team
