Game	Date	Opponent	Result	Bills points	Opponents	Bills first downs	Record	Attendance
1	Sept. 7	Miami Dolphins	Win	17	7	22	1–0	79,598
2	Sept. 14	New York Jets	Win	20	10	22	2–0	65,315
3	Sept. 21	at New Orleans Saints	Win	35	26	26	3–0	51,154
4	Sept. 28	Oakland Raiders	Win	24	7	25	4–0	77,259
5	Oct. 5	at San Diego Chargers	Win	26	24	14	5–0	51,982
6	Oct. 12	Baltimore Colts	Loss	12	17	24	5–1	73,634
7	Oct. 19	at Miami Dolphins	Loss	14	17	18	5–2	41,636
8	Oct. 26	New England Patriots	Win	31	13	21	6–2	75,092
9	Nov. 2	Atlanta Falcons	Loss	14	30	20	6–3	57,959
10	Nov. 9	at New York Jets	Win	31	24	17	7–3	45,677
11	Nov. 16	at Cincinnati Bengals	Win	14	0	22	8–3	40,836
12	Nov. 23	Pittsburgh Steelers	Win	28	13	23	9–3	79,659
13	Nov. 30	at Baltimore Colts	Loss	24	28	24	9–4	36,184
14	Dec. 7	Los Angeles Rams	Win	10	7	15	10–4	77,133
15	Dec. 14	at New England Patriots	Loss	2	24	28	10–5	58,324
16	Dec. 21	at San Francisco 49ers	Win	18	13	16	11–5	37,476
