Year	Song (s)	Producer (s)	Written By	Artist	Title/Label
1979	Deputy of Love * (8)	August Darnell / Andy Hernandez	Ron Rogers	Don Armando	Don Armando's Rhumba Band / Ze Records
1978	all cuts	Ron Rogers / August Darnell	August Darnell	Gichy Dan	Gichy Dan's Beechwood # 9 / RCA
1984	Take Me For A Night In NY* 2X	August Darnell	Ron Rogers / D. Clarkin	Elbow Bones and the Racketeers	New York At Dawn / EMI America
1983	Cowboys & Gangsters * 5X	Ron Rogers	Ron Rogers	Gichy Dan	Gichy Dan / ZE / Island Records
1979	Spooks In Space* 5X	Bob Blank	Ron Rogers	Aural Exciters	Spooks In Space / ZE
1987	So Far So Good * 2X	Ron Rogers	Ron Rogers August Darnell	Kid Creole	I Too Have Seen The Woods / Sire Records
1986	City Nights / Manhattan Cafe's	Ron Rogers	Ron Rogers / B.D.Hutz	Cory Daye	Cory Daye / Profile Records
1987	Gina Gina	August Darnell	Ron Rogers / August Darnell	Kid Creole and the Coconuts	Fresh Fruit In Foreign Places / Ze Records
1983	Don't Play With My Emotions * (2) - all cuts	Ron Rogers / Vince Traina	Ron Rogers	Ron Rogers	Don't Play With My Emotions / ZE / Island Records
1983	Piranana * (2) - all cuts	Ron Rogers	Ron Rogers / Caroline Loeb	Caroline Loeb	Piranana / ZE
1995	Dr. Paradise	Ron Rogers	August Darnell	Kid Creole	Private Waters in the Great Divide / Columbia
1995	Calling Out to Marlboro	Ron Rogers	August Darnell Ron Rogers	Kid Creole	Traveling Sideways / ---
2004	Naughty Boy / YA YA	Ron Rogers	Ron Rogers	Ron Rogers	Mutant Disco / Strut Records
