Team	Outgoing manager	Manner of departure	Date of vacancy	Replaced by	Date of appointment	Position in table
Milton Keynes Dons	Paul Ince	Signed by Blackburn Rovers (mutual consent)	22 June 2008	Roberto Di Matteo	2 July 2008	Pre-season
Cheltenham Town	Keith Downing	Mutual consent	13 September 2008	Martin Allen	15 September 2008	24th
Colchester United	Geraint Williams	Mutual consent	22 September 2008	Paul Lambert	24 September 2008	23rd
Carlisle United	John Ward	Mutual consent	3 November 2008	Greg Abbott	5 December 2008	20th
Huddersfield Town	Stan Ternent	Mutual consent	4 November 2008	Lee Clark	11 December 2008	16th
Swindon Town	Maurice Malpas	Mutual consent	14 November 2008	Danny Wilson	26 December 2008	16th
Crewe Alexandra	Steve Holland	Contract terminated	18 November 2008	Guðjón Þórðarson	24 December 2008	24th
Hartlepool United	Danny Wilson	Contract terminated	15 December 2008	Chris Turner	15 December 2008	13th
Leeds United	Gary McAllister	Contract terminated	21 December 2008	Simon Grayson	23 December 2008	9th
Walsall	Jimmy Mullen	Contract terminated	10 January 2009	Chris Hutchings	20 January 2009	12th
Leyton Orient	Martin Ling	Mutual Consent	18 January 2009	Geraint Williams	5 February 2009	21st
Yeovil Town	Russell Slade	Contract terminated	16 February 2009	Terry Skiverton	18 February 2009	16th
Brighton & Hove Albion	Micky Adams	Contract terminated	21 February 2009	Russell Slade	6 March 2009	21st
Oldham Athletic	John Sheridan	Mutual Consent	15 March 2009	Joe Royle	15 March 2009	8th
