Series Ep.	Episode	Segment A	Segment B	Segment C	Segment D
19-01	235	Garden Forks	English Toffee	Paint Chip Cards	Bundt s Pan
19-02	236	Pewter Flasks	Potato Salad	Hydrogen s Fuel Cell	Engineered Wood Siding
19-03	237	Canvas Wall s Tent	s Peace Pipe	Shredded Wheat Cereal	s Cannon
19-04	238	ic Robot ing Hunt s Decoy	Canned Tomatoes	s Scoreboard	s Lasso
19-05	239	Turf Grass	Beef Jerky	Wood Chippers	Bowling Pins
19-06	240	s Multi-tool	Jojoba Oil	s Marionette (Part 1)	s Marionette (Part 2)
19-07	241	Fish Decoys	Film Digitization	Cylinder Stoves	Concrete Light Poles
19-08	242	Bamboo Bicycles	Chainsaw Art	Breath Mints	Manual Motorcycle Transmissions
19-09	243	Dinnerware	Air Brake Tanks	Frosted Cereal	s Fossil
19-10	244	Clay	Pitted Prunes	s Spur	Polyurethane Tires
19-11	245	s Taser	Canned Soup	Jaw Harps & Mouth Bows	s Diving Board
19-12	246	Navajo Rugs	Crude Oil	s Kaleidoscope	Titanium Dental Implants
