Year	Winner	Jockey	Trainer	Owner	Distance (Miles)	Time
2013	War Dancer	Alan Garcia	Kenneth G. McPeek	Magdalena Racing	1-1/4	2:03.57
2012	Silver Max	Robby Albarado	Dale L. Romans	Bacon/Wells	1-1/4	2:04.05
2011	Air Support	Alex Solis	Shug McGaughey	Stuart Janney III	1-1/4	2:00.80
2010	Paddy O'Prado	Kent J. Desormeaux	Dale L. Romans	Winchell Thoroughbreds	1-1/4	2:02.58
2009	Battle of Hastings	Tyler Baze	Jeff Mullins	Michael House	1-1/4	2:03.29
2008	Gio Ponti	Garrett Gomez	Christophe Clement	Castleton Lyons	1-1/4	2:02.22
2007	Red Giant	Horacio Karamanos	Todd A. Pletcher	Peachtree Stable	1-1/4	1:59.62
2006	Go Between	Garrett K. Gomez	William I. Mott	Peter Vegso	1-1/4	1:59.74
2005	English Channel	John R. Velazquez	Todd A. Pletcher	James T. Scatuorchio	1-1/4	2:02.57
2004	Kitten's Joy	Edgar S. Prado	Dale L. Romans	Ken and Sarah Ramsey	1-1/4	2:01.22
2003	Silver Tree	Edgar S. Prado	William I. Mott	Peter Vegso	1-1/4	2:01.11
2002	Orchard Park	Edgar S. Prado	William I. Mott	Peter Vegso	1-1/4	2:03.10
2001	Potaro	Brent Bartram	Jonathan Sheppard	Augustin Stable	1-1/4	2:02.18
2000	Lightning Paces	Greg Hutton	John J. Robb	Tulip Hill Farm	1-1/4	2:02.18
1999	Phi Beta Doc	Ramon Dominguez	Robert W. Leonard	Dennis Foster/R. Leonard	1-1/4	1:59.97
1998	Crowd Pleaser	Jean-Luc Samyn	Jonathan Sheppard	Augustin Stable	1-1/4	2:00.28
