Heat	Lane	Name	Country	Mark	React
1	5	Jackson Quiñónez	Spain	7.58	0.168
1	6	Thomas Blaschek	Germany	7.61	0.126
1	4	Adrien Deghelt	Belgium	7.73 PB	0.130
1	3	Damjan Zlatnar	Slovenia	7.76	0.127
1	7	Anselmo da Silva	Brazil	7.80 PB	0.123
1	2	Dominik Bochenek	Poland	7.83	0.123
2	3	Staņislavs Olijars	Latvia	7.72	0.181
2	4	Liu Xiang	China	7.73 SB	0.105
2	6	Maksim Lynsha	Belarus	7.80	0.259
2	8	Samuel Coco-Viloin	France	7.85	0.154
2	2	Decosma Wright	Jamaica	7.85	0.269
2	7	Shamar Sands	Bahamas	7.97 SB	0.227
2	5	Dayron Robles	Cuba	8.53	0.174
3	4	Petr Svoboda	Czech Republic	7.71	0.163
3	8	Robert Kronberg	Sweden	7.73	0.160
3	7	Yoel Hernández	Cuba	7.74	0.251
3	5	Evgeniy Borisov	Russia	7.79	0.247
3	3	Éder Antonio Souza	Brazil	7.89	0.194
3	2	Yuji Ohashi	Japan	8.01 PB	0.162
3	6	Rayzam Shah Wan Sofian	Malaysia	8.26	0.246
4	4	Allan Scott	United Kingdom	7.64	0.149
4	6	Allen Johnson	United States	7.67	0.171
4	3	Paulo Villar	Colombia	7.68	0.152
4	5	Shi Dongpeng	China	7.72 SB	0.150
4	7	Masato Naito	Japan	7.75 NR	0.140
4	2	Stanislav Sajdok	Czech Republic	7.81	0.243
5	3	David Oliver	United States	7.59	0.225
5	7	Maurice Wignall	Jamaica	7.61 SB	0.173
5	6	Willi Mathiszik	Germany	7.70	0.146
5	5	Alexandru Mihailescu	Romania	7.88	0.183
5	4	Igor Peremota	Russia	7.93	0.143
5	8	Rene Oruman	Estonia	8.00	0.165
5	2	Toriki Urarii	Tahiti	8.52 PB	0.297
