Year	Movie title	Role	Direction	Screenplay
1999	Pallavur Devanarayanan	Pallavur Devanarayana Pothuval	V. M. Vinu	Gireesh Puthenchery
1999	Prem Poojari	Cameo	Hariharan	Dr. Balakrishnan
1999	Ezhupunna Tharakan	Sunny Tharakan	P. G. Viswambaran	Kaloor Dennis
1999	Thachiledathu Chundan	Kochu Kunju	Shajoon Karyal	Babu Janardanan
1999	Megham	Col. Ravivarma Thampuran	Priyadarshan	T. Damodaran
1999	Stalin Sivadas	Sivadas	T. S. Suresh Babu	T Damodaran
1999	The Godman	Amarnath	K. Madhu	Suresh Pathissery
1998	Elavamkodu Desam	Jathavethan	K. G. George	K. G. George
1998	Harikrishnans	Hari	Fazil	Fazil
1998	Sidhartha	Sidhartha	Joemon	Satyanath
1998	Oru Maravathoor Kanavu	Chandy	Lal Jose	Sreenivasan
1998	The Truth	Bharath Patteri	Shaji Kailas	S. N. Swamy
1997	Bhoothakkannadi	Vidyadharan	Lohithadas	Lohithadas
1997	Kaliyoonjal	Nandagopalan	Anil-Babu	Sathrughnan
1997	Oral Mathram	Hareendran	Sathyan Anthikkad	S. N. Swamy
1996	Udhyanapalakan	Sudhakaran Nair	Harikumar	Lohithadas
1996	Indraprastham	Sathish Menon	Haridas	Robin Thirumala
1996	Aayiram Naavulla Ananthan	Dr. Anantha Padmanabhan	Thulasidas	S N Swamy
1996	Hitler	Madhavan Kutty	Siddique	Siddique
1996	Azhakiya Ravanan	Sanker Das	Kamal	Sreenivasan
1995	The King	Thevalliparambil Joseph Alex	Shaji Kailas	Ranji Panikkar
1995	Ormakal Undayirikkanam	Bhasi	T. V. Chandran	T. V. Chandran
1995	No. 1 Snehatheeram Banglore North	Vijaya Bhasker	Sathyan Anthikkad	Fazil
1995	Oru Abhibhashakante Case Diary	Aniyan Kuruvilla	K. Madhu	S. N. Swamy
1995	Mazhayethum Munpe	Nandakumar Varma	Kamal	Sreenivasan
1994	Sukrutham	Ravishankar	Hari Kumar	M. T. Vasudevan Nair
1994	Sainyam	Captain Eswar	Joshy	S. N. Swamy
1994	Sagaram Sakshi	Gopi	Sibi Malayil	Lohithadas
1994	Vishnu	Vishnu	P. Sreekumar	Venu Nagavalli
1994	Ponthan Mada	Mada	T. V. Chandran	T. V. Chandran
1994	Vidheyan	Bhaskar Patelar	Adoor Gopalakrishnan	Adoor Gopalakrishnan
1993	Golanthara Vartha	Ramesan Nair	Sathyan Anthikkad	Sreenivasan
1993	Padheyam	Chandradas	Bharathan	Lohithadas
1993	Sarovaram	Devadathan	Jeassy	Dennis Joseph
1993	Palayam	Christi	T. S. Suresh Babu	Dennis Joseph
1993	Jackpot	Gautham Krishna	Joemon	T Damodaran
1993	Valtsalyam	Meledathu Raghvan Nair	Cochin Haneefa	Lohithadas
1993	Aayirappara	Shouwri	Venu Nagavalli	Venu Nagavalli
1993	Dhruvam	Narasimha Mannadiyar	Joshy	S. N. Swamy
1992	Pappayude Swantham Appoos	Balachandran	Fazil	Fazil
1992	Kizhakkan Pathrose	Pathrose	T. S. Suresh Babu	Dennis Joseph
1992	Mahanagaram	Chanthakkadu Viswan	T. K. Rajeev Kumar	Dennis Joseph
1992	Johnnie Walker	John Varghese	Jayaraaj	Ranjith
1992	Soorya Manasam	Putturumees	Viji Thampi	Sab John
1992	Kauravar	Antony	Joshy	Lohithadas
1991	Neelagiri	Sivan	I. V. Sasi	Ranjith
1991	Anaswaram	Daniel D'Souza	Joemon	T A Razzak
1991	Kanalkkattu	Nathu Narayanan	Sathyan Anthikkad	Lohithadas
1991	Adayalam	Hariharan	K. Madhu	S. N. Swamy
1991	Inspector Balram	Inspector Balram	I. V. Sasi	T. Damodaran
1991	Nayam Vyakthamakkunnu	Sukumaran	Balachandra Menon	Balachandra Menon
1991	Amaram	Achootty	Bharathan	Lohithadas
1990	Parampara	Lawrence/Johny (double role)	Sibi Malayil	S. N. Swamy
1990	No.20 Madras Mail	Mammootty	Joshy	Dennis Joseph
1990	Ee Thanutha Veluppan Kalathu	Haridas Damodaran	Joshy	P. Padmarajan
1990	Kuttettan	Vishnu	Joshy	Lohithadas
1990	Iyer the Great	Soorya Narayana Iyer	Bhadran	Malayatoor Ramakrishnan
1990	Oliyampukal	Arackal Baby Mathew	Hariharan	Dennis Joseph
1990	Kalikkalam	Thief	Sathyan Anthikkad	S. N. Swamy
1990	Samrajyam	Alexander	Joemon	Shibu Chakravarthy
1990	Mathilukal	Vaikom Basheer	Adoor Gopalakrishnan	Adoor Gopalakrishnan
1990	Midhya	Venugopal	I. V. Sasi	M. T. Vasudevan Nair
1990	Kottayam Kunjachan	Kunjachan	T. S. Suresh Babu	Dennis Joseph
1990	Purappadu	Viswanathan	Jeassy	John Paul
