Week	Date	Opponent	Time	Game Site	Result/Score	Record	Match Report
1	September 7, 2008	Tampa Bay Buccaneers	12:00pm CDT	Louisiana Superdome	W 24-20	1-0	Recap
2	September 14, 2008	Washington Redskins	12:00pm CDT	Fedex Field	L 24-29	1-1	Recap
3	September 21, 2008	Denver Broncos	3:05pm CDT	Invesco Field	L 32-34	1-2	Recap
4	September 28, 2008	San Francisco 49ers	12:00pm CDT	Louisiana Superdome	W 31-17	2-2	Recap
5	October 6, 2008	Minnesota Vikings	7:30pm CDT	Louisiana Superdome	L 27-30	2-3	Recap
6	October 12, 2008	Oakland Raiders	12:00pm CDT	Louisiana Superdome	W 34-3	3-3	Recap
7	October 19, 2008	Carolina Panthers	12:00pm CDT	Bank of America Stadium	L 7-30	3-4	Recap
8	October 26, 2008	San Diego Chargers	12:00pm CDT	Wembley Stadium , London *	W 37-32	4-4	Recap
9	November 2, 2008	Bye week	Bye week	Bye week	Bye week	Bye week	Bye week
10	November 9, 2008	Atlanta Falcons	12:00pm CST	Georgia Dome	L 20-34	4-5	Recap
11	November 16, 2008	Kansas City Chiefs	12:00pm CST	Arrowhead Stadium	W 30-20	5-5	Recap
12	November 24, 2008	Green Bay Packers	7:30pm CST	Louisiana Superdome	W 51-29	6-5	Recap
13	November 30, 2008	Tampa Bay Buccaneers	12:00pm CST	Raymond James Stadium	L 20-23	6-6	Recap
14	December 7, 2008	Atlanta Falcons	12:00pm CST	Louisiana Superdome	W 29-25	7-6	Recap
15	December 11, 2008	Chicago Bears	7:15pm CST	Soldier Field	L 24-27	7-7	Recap
16	December 21, 2008	Detroit Lions	12:00pm CST	Ford Field	W 42-7	8-7	Recap
17	December 28, 2008	Carolina Panthers	12:00pm CST	Louisiana Superdome	L 31-33	8-8	Recap
