Date	Tournament	Surface	Partner	Opponent in the final	Score in the final
1987	Palermo , Italy	Clay	Tomáš Šmíd	Leonardo Lavalle Claudio Panatta	6–3, 4–6, 4–6
1989	Gstaad , Switzerland	Clay	Milan Šrejber	Cassio Motta Todd Witsken	4–6, 3–6
1989	Kitzbühel , Austria	Clay	Tomáš Šmíd	Emilio Sánchez Javier Sánchez	5–7, 6–7
1989	Prague , Czechoslovakia	Clay	Gene Mayer	Jordi Arrese Horst Skoff	4–6, 4–6
1990	Munich , Germany	Clay	Tomáš Šmíd	Udo Riglewski Michael Stich	1–6, 4–6
1990	French Open, Paris, France	Clay	Goran Ivanišević	Sergio Casal Emilio Sánchez	5–7, 3–6
1990	New Haven , USA	Hard	Goran Ivanišević	Jeff Brown Scott Melville	6–2, 5–7, 0–6
1991	Basel , Switzerland	Hard (i)	John McEnroe	Jakob Hlasek Patrick McEnroe	6–3, 6–7, 6–7
1992	Monte Carlo , Monaco	Clay	Karel Nováček	Boris Becker Michael Stich	4–6, 4–6
1992	Gstaad, Switzerland	Clay	Cyril Suk	Hendrik Jan Davids Libor Pimek	W/O
1994	Munich , Germany	Clay	Boris Becker	Yevgeny Kafelnikov David Rikl	6–7, 5–7
1995	Milan , Italy	Carpet	Karel Nováček	Boris Becker Guy Forget	2–6, 4–6
1995	Washington, D.C. , USA	Hard	Cyril Suk	Olivier Delaître Jeff Tarango	6–1, 3–6, 2–6
1996	Indianapolis , USA	Hard	Cyril Suk	Jim Grabb Richey Reneberg	6–7, 6–4, 4–6
