Date	Venue	Score	Result	Competition
29 November 1995	Santa Ana, El Salvador	2-0	Win	UNCAF Nations Cup 1995
10 December 1995	San Salvador , El Salvador	3-0	Win	UNCAF Nations Cup 1995
24 July 1996	San Pedro Sula , Honduras	1-1	Draw	Friendly
21 August 1996	San Salvador , El Salvador	2-1	Win	Friendly
25 August 1996	Tegucigalpa , Honduras	4-0	Win	Friendly
21 September 1996	San Pedro Sula , Honduras	2-1	Win	World Cup 1998 Qualifier
21 October 1996	Tegucigalpa , Honduras	1-1	Draw	Friendly
17 November 1996	San Pedro Sula , Honduras	11-3	Win	World Cup 1998 Qualifier
1 February 1998	Oakland , United States	1-3	Loss	1998 CONCACAF Gold Cup
21 March 1999	San José Costa Rica	1-0	Win	UNCAF Nations Cup 1999
26 March 1999	San José Costa Rica	2-1	Win	UNCAF Nations Cup 1999
21 May 1999	Miami , United States	2-0	Win	Friendly
9 February 2000	San Pedro Sula , Honduras	5-1	Win	Friendly
12 February 2000	Miami , United States	2-0	Win	2000 CONCACAF Gold Cup
16 February 2000	Miami , United States	2-0	Win	2000 CONCACAF Gold Cup
19 February 2000	Miami , United States	3-5	Loss	2000 CONCACAF Gold Cup
7 May 2000	Tegucigalpa , Honduras	3-1	Win	World Cup 2002 Qualifier
3 June 2000	San Pedro Sula , Honduras	4-0	Win	World Cup 2002 Qualifier
16 July 2000	San Salvador , El Salvador	5-2	Win	World Cup 2002 Qualifier
16 August 2000	Tegucigalpa , Honduras	6-0	Win	World Cup 2002 Qualifier
2 September 2000	San Pedro Sula , Honduras	5-0	Win	World Cup 2002 Qualifier
21 March 2001	San Pedro Sula , Honduras	3-1	Win	Friendly match
23 May 2001	Tegucigalpa , Honduras	10-2	Win	UNCAF Nations Cup 2001
16 June 2001	Port of Spain , Trinidad and Tobago	4-2	Win	World Cup 2002 Qualifier
20 June 2001	San Pedro Sula , Honduras	3-1	Win	World Cup 2002 Qualifier
1 September 2001	Washington, D.C. , United States	2-1	Win	World Cup 2002 Qualifier
2 May 2002	Kobe , Japan	3-3	Draw	Carlsberg Cup
28 April 2004	Fort Lauderdale , United States	1-1	Draw	Friendly
19 June 2004	San Pedro Sula , Honduras	4-0	Win	World Cup 2006 Qualification
19 April 2007	La Ceiba , Honduras	1-3	Loss	Friendly
25 May 2007	Mérida , Venezuela	1-2	Loss	Friendly
13 June 2007	Houston , United States	5-0	Win	2007 CONCACAF Gold Cup
17 June 2007	Houston , United States	1-2	Loss	2007 CONCACAF Gold Cup
18 January 2009	Miami , United States	2-0	Win	Friendly
26 January 2009	Tegucigalpa , Honduras	2-0	Win	UNCAF Nations Cup 2009
28 March 2009	Port of Spain , Trinidad and Tobago	1-1	Draw	World Cup 2010 Qualification
1 April 2009	San Pedro Sula , Honduras	3-1	Win	World Cup 2010 Qualification
10 June 2009	San Pedro Sula , Honduras	1-0	Win	World Cup 2010 Qualification
12 August 2009	San Pedro Sula , Honduras	4-0	Win	World Cup 2010 Qualification
5 September 2009	San Pedro Sula , Honduras	4-1	Win	World Cup 2010 Qualification
14 October 2009	San Salvador , El Salvador	1-0	Win	World Cup 2010 Qualification
23 January 2010	Carson , United States	3-1	Win	Friendly
