Team	Car(s)	Driver(s)	Primary Sponsor(s)	Crew Chief
BAM Racing	Dodge Charger	Ken Schrader	Schwans	David Hyder
Bill Davis Racing	Dodge Charger	Scott Wimmer	Caterpillar Inc.	Derrick Finley
Bill Davis Racing	Dodge Charger	Casey Atwood	Sirius Satellite Radio	Lee McCall
Chip Ganassi Racing with Felix Sabates	Dodge Charger	Sterling Marlin	Coors Light	Steve Boyer
Chip Ganassi Racing with Felix Sabates	Dodge Charger	Casey Mears	Target Corporation	Jimmy Elledge
Chip Ganassi Racing with Felix Sabates	Dodge Charger	Jamie McMurray	Texaco / Havoline	Donnie Wingo
Dale Earnhardt, Inc.	Chevrolet Monte Carlo	Dale Earnhardt, Jr.	Budweiser	Pete Rondeau
Dale Earnhardt, Inc.	Chevrolet Monte Carlo	Michael Waltrip	NAPA Auto Parts	Tony Eury, Jr.
Evernham Motorsports	Dodge Charger	Kasey Kahne	Dodge Dealers	Tommy Baldwin Jr.
Evernham Motorsports	Dodge Charger	Jeremy Mayfield	Dodge Dealers	Kenny Francis
Front Row Motorsports	Chevrolet Monte Carlo	Stanton Barrett (R)	First Trust Portfolios	Fred Wanke
Haas CNC Racing	Chevrolet Monte Carlo	Mike Bliss	NetZero	Bootie Barker
Hendrick Motorsports	Chevrolet Monte Carlo	Kyle Busch (R)	Kellogg Company	Alan Gustafson
Hendrick Motorsports	Chevrolet Monte Carlo	Jeff Gordon	DuPont	Robbie Loomis
Hendrick Motorsports	Chevrolet Monte Carlo	Brian Vickers	GMAC	Lance McGrew
Hendrick Motorsports	Chevrolet Monte Carlo	Jimmie Johnson	Lowe's	Chad Knaus
Joe Gibbs Racing	Chevrolet Monte Carlo	Jason Leffler	FedEx	Dave Rogers
Joe Gibbs Racing	Chevrolet Monte Carlo	Bobby Labonte	Interstate Batteries	Steve Addington
Joe Gibbs Racing	Chevrolet Monte Carlo	Tony Stewart	The Home Depot	Greg Zipadelli
Kirk Shelmerdine Racing	Ford Taurus	Kirk Shelmerdine	Freddie B's	Phil Harris
Mach 1 Racing	Chevrolet Monte Carlo	Randy LaJoie	Dimension Films	Mike Steurer
MBV Motorsports	Chevrolet Monte Carlo	Joe Nemechek	United States Army	Ryan Pemberton
MBV Motorsports	Chevrolet Monte Carlo	Scott Riggs	Valvoline	Doug Randolph
Morgan-McClure Motorsports	Chevrolet Monte Carlo	Mike Wallace	Lucas Oil	Chris Carrier
Penske-Jasper Racing	Dodge Charger	Rusty Wallace	Miller Lite	Larry Carter
Penske-Jasper Racing	Dodge Charger	Ryan Newman	Alltel	Matt Borland
Penske-Jasper Racing	Dodge Charger	Travis Kvapil (R)	Eastman Kodak	Shane Wilson
Petty Enterprises	Dodge Charger	Jeff Green	Cheerios	Greg Steadman
Petty Enterprises	Dodge Charger	Kyle Petty	Georgia-Pacific	Paul Andrews
Peak Fitness Racing	Ford Taurus	Hermie Sadler	Peak Fitness	James Ince
ppc Racing	Ford Taurus	John Andretti	Victory Brand	Dave Charpentier
PPI Motorsports	Chevrolet Monte Carlo	Bobby Hamilton, Jr.	Tide	Harold Holly
Raabe Racing Enterprises	Chevrolet Monte Carlo	Eric McClure (R)	ARC DeHooker	Tim Brewer
R&J Racing	Dodge Charger	Kevin Lepage	BoSpoker / Patron Tequila	Billy Poindexter
Richard Childress Racing	Chevrolet Monte Carlo	Dave Blaney	Jack Daniel's	Phillipe Lopez
Richard Childress Racing	Chevrolet Monte Carlo	Kevin Harvick	GM Goodwrench	Todd Berrier
Richard Childress Racing	Chevrolet Monte Carlo	Jeff Burton	Cingular Wireless	Kevin Hamlin
Robby Gordon Motorsports	Chevrolet Monte Carlo	Robby Gordon	Harrah's / Fruit of the Loom	Bob Temple
Robert Yates Racing	Ford Taurus	Elliott Sadler	M&M's	Todd Parrott
Robert Yates Racing	Ford Taurus	Dale Jarrett	UPS	Mike Ford
Roush Racing	Ford Taurus	Mark Martin	Pfizer / Viagara	Pat Tryson
Roush Racing	Ford Taurus	Greg Biffle	National Guard / Post-It	Doug Richert
Roush Racing	Ford Taurus	Matt Kenseth	DeWalt	Robbie Reiser
Roush Racing	Ford Taurus	Kurt Busch	Sharpie / Rubbermaid	Jimmy Fennig
Roush Racing	Ford Taurus	Carl Edwards	Scotts / Office Depot	Bob Osborne
Victory In Jesus Racing	Dodge Charger	Morgan Shepherd	Racing with Jesus	Troy Kelly
Wood Brothers Racing	Ford Taurus	Ricky Rudd	Motorcraft	Michael McSwain
