Date	Opponent	Score	Loss	Attendance	Record
April 5	Tigers	7 - 0	Halladay (0-1)	47,817	0-1
April 6	Tigers	7 - 3	Batista (0-1)	21,003	0-2
April 7	Tigers	6 - 3	Hentgen (0-1)	13,100	0-3
April 9	@ Red Sox	10 - 5	Timlin (0-1)	34,337	1-3
April 10	@ Red Sox	4 - 1	Halladay (0-2)	35,305	1-4
April 11	@ Red Sox	6 - 4 (12)	López (0-1)	34,286	1-5
April 13	@ Tigers	7 - 5	Patterson (0-1)	8,804	2-5
April 14	@ Tigers	5 - 3	Lilly (0-1)	15,129	2-6
April 15	@ Tigers	11 - 0	Johnson (1-2)	17,572	3-6
April 16	Orioles	11 - 2	Batista (0-2)	14,239	3-7
April 17	Orioles	5 - 3	Speier (1-1)	20,177	3-8
April 18	Orioles	7 - 0	Hentgen (0-2)	16,842	3-9
April 20	Red Sox	4 - 2	Halladay (1-3)	26,010	3-10
April 21	Red Sox	4 - 2	Lilly (0-2)	16,163	3-11
April 22	Red Sox	7 - 3	Schilling (2-1)	16,480	4-11
April 23	@ Orioles	11 - 3	Towers (0-1)	26,827	4-12
April 24	@ Orioles	5 - 4 (12)	DeJean (0-1)	41,093	5-12
April 25	@ Orioles	15 - 3	Ponson (2-1)	31,028	6-12
April 26	@ Twins	6 - 1	Radke (2-2)	13,859	7-12
April 27	@ Twins	7 - 4	Speier (1-2)	14,029	7-13
April 28	@ Twins	9 - 5	Frasor (0-1)	15,164	7-14
April 29	@ White Sox	6 - 4	Nakamura (0-1)	11,210	7-15
April 30	@ White Sox	Postponed (rain) Rescheduled for May 1	Postponed (rain) Rescheduled for May 1	Postponed (rain) Rescheduled for May 1	Postponed (rain) Rescheduled for May 1
