Rank	Name	Headquarters	Primary industry	Market value ( USD million)
1	Exxon Mobil	United States	Oil and gas	429,567
2	General Electric	United States	Conglomerate	363,611
3	Microsoft	United States	Software industry	272,912
4	Citigroup	United States	Banking	252,857
5	AT&T	United States	Telecommunications	246,206
6	Gazprom	Russia	Oil and gas	245,911
7	Toyota Motor Corporation	Japan	Automotive	230,832
8	Bank of America	United States	Banking	228,177
9	Industrial and Commercial Bank of China	China	Banking	224,788
10	Royal Dutch Shell	The Netherlands	Oil and gas	214,018
