Date	Venue	Opponent	Result	Tournament	Scored
6 April 2007	Twickenham Stoop ,	Harlequins RL	30-28	Super League	1
26 May 2007	JJB Stadium	Wigan Warriors	47-16	Super League	1
8 July 2007	Craven Park	Hull KR	20-30	Super League	1
13 July 2007	KC Stadium	Harlequins RL	20-8	Super League	1
29 July 2007	KC Stadium ,	Salford City Reds	48-26	Super League	2
17 August 2007	Belle Vue	Wakefield Trinity Wildcats	24-42	Super League	1
8 February 2008	Halliwell Jones Stadium ,	Warrington Wolves	38-20	Super League	2
2 March 2008	Galpharm Stadium	Huddersfield Giants	28-8	Super League	1
7 March 2008	Knowsley Road ,	St Helens RLFC	30-29	Super League	1
11 April 2008	The Jungle ,	Castleford Tigers	12-32	Super League	2
27 April 2008	KC Stadium ,	Huddersfield Giants	28-20	Super League	1
15 June 2008	KC Stadium	Castleford Tigers	40-14	Super League	3
12 July 2008	Belle Vue	Wakefield Trinity Wildcats	18-26	Super League	2
20 July 2008	KC Stadium ,	Hull KR	44-18	Super League	1
27 February 2009	KC Stadium	Catalans Dragons	28-12	Super League	1
15 March 2009	Odsal ,	Bradford Bulls	24-36	Super League	2
28 March 2009	Twickenham Stoop	Harlequins RL	22-12	Super League	1
17 July 2009	KC Stadium	Crusaders	22-6	Super League	1
25 July 2009	Craven Park ,	Hull KR	24-18	Super League	4
21 August 2009	KC Stadium	Harlequins RL	26-6	Super League	3
4 September 2009	JJB Stadium	Wigan Warriors	34-22	Super League	1
12 February 2010	KC Stadium	Huddersfield Giants	14-6	Super League	1
26 February 2010	KC Stadium	Harlequins RL	28-4	Super League	1
5 March 2010	KC Stadium	Castleford Tigers	42-22	Super League	1
12 March 2010	JJB Stadium	Wigan Warriors	48-24	Super League	1
5 April 2010	KC Stadium	Warrington Wolves	10-29	Super League	1
11 April 2010	Headingley Carnegie	Leeds Rhinos	46-30	Super League	1
11 June 2010	KC Stadium	Salford City Reds	34-12	Super League	2
4 July 2010	Odsal	Bradford Bulls	22-28	Super League	1
7 March 2011	The Jungle	Castleford Tigers	27-14	Super League	1
18 March 2011	The Willows	Salford City Reds	34-18	Super League	2
12 June 2011	Headingley Carnegie	Leeds Rhinos	44-14	Super League	1
