Name	Number	Position	Weight*	Year	Hometown
Davis, Bryan	0	F/C	250	So.-1L	Dallas, Texas
Lewis, Derreck	2	G	197	Fr.	Tulsa, Oklahoma
Roland, Derrick	3	G	190	So.-1L	Dallas, Texas
Graham, Bryson	5	G	190	spm Jr.-1L	San Antonio, Texas
Bowles, Denzel	10	F/C	250	Fr.-HS	Virginia Beach, Virginia
Holmes, B.J.	11	G	175	Fr.-HS	Houston, Texas
Jordan, DeAndre	12	C	255	Fr.-HS	Houston, Texas
Darko, Andrew	14	G	165	Fr.	Conroe, Texas
Sloan, Donald	15	G	205	So.-1L	Dallas, Texas
Kirk, Dominique	22	G	185	Sr.-3L	Dallas, Texas
Carter, Josh	23	F	200	sp Jr.-2L	Dallas, Texas
Schepel, Shawn	24	G	200	Fr.	Dallas, Texas
Jones, Joseph	30	F	255	Sr.-3L	Normangee, Texas
Chapman, Chris	31	G	170	So.	Houston, Texas
Muhlbach, Beau	32	G/F	205	Sr.-2L	Lufkin, Texas
Elonu, Chinemelu	41	F/C	235	So.-1L	Houston, Texas
Walkup, Nathan	45	F	195	Fr.-HS	Houston, Texas
Carrell, Marshall	50	F	200	Fr.	Paris, Texas
