Driver	Team	Laps	Time/Retired	Grid	Points
Ryan Hunter-Reay	American Spirit Team Johansson	47	1:49:02.803	12	20
Darren Manning	Walker Racing	47	+1.546 secs	14	16
Jimmy Vasser	American Spirit Team Johansson	47	+3.792 secs	15	14
Michel Jourdain, Jr.	Team Rahal	47	+5.315 secs	9	12
Patrick Carpentier	Team Player's	47	+5.837 secs	11	10
Gualter Salles	Dale Coyne Racing	47	+8.180 secs	17	8
Alex Tagliani	Rocketsports Racing	47	+10.131 secs	4	6
Rodolfo Lavín	Walker Racing	47	+11.673 secs	18	5
Geoff Boss	Dale Coyne Racing	47	+50.728 secs	19	4
Mario Domínguez	Herdez Competition	46	+ 1 Lap	8	3
Mika Salo	PK Racing	46	+ 1 Lap	10	2
Adrian Fernández	Fernández Racing	46	+ 1 Lap	5	1
Paul Tracy	Team Player's	45	+ 2 Laps	3	0
Mario Haberfeld	Mi-Jack Conquest Racing	43	+ 4 Laps	16	0
Bruno Junqueira	Newman/Haas Racing	36	Contact	2	2
Roberto Moreno	Herdez Competition	23	Contact	7	0
Sébastien Bourdais	Newman-Haas Racing	11	Contact	1	1
Tiago Monteiro	Fittipaldi-Dingman Racing	3	Mechanical	13	0
Oriol Servià	Patrick Racing	1	Contact	6	0
