Seed	Rank	Player	Points	Points defending	Points won	New points	Status
1	1	Rafael Nadal	12070	2000	1200	11270	Runner-up, lost to Novak Djokovic [2]
2	2	Novak Djokovic	12005	720	2000	13285	Champion, defeated Rafael Nadal [1]
3	3	Roger Federer	9230	360	360	9230	Quarterfinals lost to Jo-Wilfried Tsonga [12]
4	4	Andy Murray	6855	720	720	6855	Semifinals lost to Rafael Nadal [1]
5	5	Robin Söderling	4595	360	90	4325	Third round lost to Bernard Tomic (Q)
6	7	Tomáš Berdych	3490	1200	180	2470	Fourth round lost to Mardy Fish [10]
7	6	David Ferrer	4150	180	180	4150	Fourth round lost to Jo-Wilfried Tsonga [12]
8	10	Andy Roddick	2200	180	90	2110	Third round lost to Feliciano López
9	8	Gaël Monfils	2780	90	90	2780	Third round lost to Łukasz Kubot (Q)
10	9	Mardy Fish	2335	45	360	2650	Quarterfinals lost Rafael Nadal [1]
11	11	Jürgen Melzer	2175	180	90	2085	Third round lost to Xavier Malisse
12	19	Jo-Wilfried Tsonga	1585	360	720	1945	Semifinals lost to Novak Djokovic [2]
13	12	Viktor Troicki	1930	45	45	1930	Second round lost to Lu Yen-hsun
14	14	Stanislas Wawrinka	1900	10	45	1935	Second round lost to Simone Bolelli (LL)
15	16	Gilles Simon	1745	90	90	1745	Third round lost to Juan Martín del Potro [24]
16	15	Nicolás Almagro	1875	10	90	1955	Third round lost to Mikhail Youzhny [18]
17	13	Richard Gasquet	1925	0	180	2105	Fourth round lost to Andy Murray [4]
18	17	Mikhail Youzhny	1740	45	180	1875	Fourth round lost to Roger Federer [3]
19	35	Michaël Llodra	1195	45	180	1330	Fourth round lost vs Novak Djokovic [2]
20	18	Florian Mayer	1600	90	45	1555	Second round lost to Xavier Malisse
21	23	Fernando Verdasco	1425	10	45	1460	Second round lost to Robin Haase
22	21	Alexandr Dolgopolov	1405	45	10	1370	First round lost to Fernando González (PR)
23	29	Janko Tipsarević	1305	10	10	1305	First round lost to Ivo Karlović
24	22	Juan Martín del Potro	1445	0	180	1625	Fourth round lost to Rafael Nadal [1]
25	20	Juan Ignacio Chela	1475	10	45	1505	Second round lost to Alex Bogomolov, Jr.
26	31	Guillermo García-López	1120	10	45	1155	Second round lost to Karol Beck (Q)
27	26	Marin Čilić	1345	10	10	1345	First round lost to Ivan Ljubičić
28	24	David Nalbandian	1425	0	90	1515	Third round lost to Roger Federer [3]
29	27	Nikolay Davydenko	1330	45	10	1295	First round lost to Bernard Tomic (Q)
30	28	Thomaz Bellucci	1305	90	10	1225	First round lost to Rainer Schüttler
31	25	Milos Raonic	1354	0	45	1399	Second round lost to Gilles Müller (WC)
