Season	Team Name	Games	Losses	Points
1994	North Shore Indians	20	15	10
1995	North Shore Indians	25	13	19
1996	North Shore Indians	20	7	25
1997	North Shore Indians	20	9	22
1998	North Shore Indians	25	11	27
1999	North Shore Indians	25	14	21
2000	Okanagan Thunder	25	19	11
2001	Okanagan Thunder	20	15	10
2002	North Shore Thunder	20	15	9
2003	North Shore Thunder	20	11	16
2004	Langley Thunder	20	19	2
2005	Langley Thunder	17	15	4
2006	Langley Thunder	18	16	4
2007	Langley Thunder	18	12	12
2008	Langley Thunder	18	15	6
2009	Langley Thunder	18	7	21
2010	Langley Thunder	18	12	12
2011	Langley Thunder	18	8	18
Total	18 seasons	365	233	249
