Player	Rec.	Yards	Avg.	TD's	Long
Trandon Harvey	91	1314	14.4	28	45
Jeremiah Pope	70	903	12.9	23	41
Atnaf Harris	35	500	14.3	8	41
Kevin McKenzie	36	464	12.9	12	45
Randy Gatewood	35	416	11.9	10	34
Curtis Fagan	26	290	11.2	2	30
Darrell Jones	23	231	10	1	29
Cosmo DeMatteo	13	171	13.2	3	35
Bo Kelly	4	50	12.5	0	21
Asi Faoa	3	30	10	0	14
Wendall Gaines	1	16	16	1	16
Craig Moore	3	16	5.3	0	6
Justin Taplin	2	13	6.5	0	7
William Fields	1	8	8	0	8
Zach Rupp	2	5	2.5	0	6
Albrey Battle	1	4	4	1	4
Vince Amey	1	2	2	1	2
