Year	Champion	Score	Opponent	State Champion Head coach
2012	Newport Central Catholic	30–26	Caldwell County	Edward Eviston
2011	Covington Holy Cross	33-14	Glasgow	Bruce Kozerski
2010	Newport Central Catholic	42–0	Owensboro Catholic	Edward Eviston
2009	Fort Campbell	29–9	DeSales	Shawn Berner
2008	Fort Campbell	26-23	Newport Central Catholic	Shawn Berner
2007	Fort Campbell	21-7	Newport Central Catholic	Shawn Berner
2006	Mercer County	15-12	Russell	Marty Jaggers
2005	Russell	27-14	Owensboro Catholic	Ivan McGlone
2004	Belfry	28-21	Owensboro Catholic	Philip Haywood
2003	Belfry	33-27 OT	Elizabethtown	Philip Haywood
2002	Breathitt County	52-0	Corbin	Mike Holcomb
2001	Bardstown	47-16	Prestonsburg	Joey Downs
2000	Boyle County	38-6	Glasgow	Chuck Smith
1999	Boyle County	29-6	Glasgow	Chuck Smith
1998	Caldwell County	38-28	Danville	Pat Gates
1997	Bourbon County	39-28	Owensboro Catholic	Dudley Hilton
1996	Breathitt County	25-21	Fort Knox	Mike Holcomb
1995	Breathitt County	42-35 2OT	Franklin-Simpson	Mike Holcomb
1994	Danville	39-7	Bullitt East	Sam Harp
1993	Mayfield	13-12	Prestonsburg	Paul Leahy
1992	Danville	34-7	Mayfield	Sam Harp
1991	Danville	17-14	Mayfield	Sam Harp
1990	Fort Knox	21-7	Corbin	Joe Jaggers
1989	Danville	7-3	Mayfield	Sam Harp
1988	Fort Knox	45-21	Somerset	Joe Jaggers
1987	Danville	24-23	Mayfield	Tom Duffy
1986	Mayfield	21-20 OT	Newport Catholic	Jack Morris
1985	Mayfield	18-8	Newport Catholic	Jack Morris
1984	Newport Catholic	12-7	Fort Knox	Bob Schneider
1983	Fort Knox	19-14	Somerset	Joe Jaggers
1982	Corbin	18-6	Glasgow	Larry “Cotton” Adams
1981	Bardstown	20-6	Somerset	Garnis Martin
1980	Corbin	16-7	Fort Campbell	Archie Powers
1979	Fort Campbell	26-0	Pikeville	Marshall Patterson
1978	Mayfield	22-6	Somerset	Jack Morris
1977	Mayfield	14-13	Corbin	Jack Morris
1976	Corbin	6-0	Mayfield	Archie Powers
1975	Scott County	22-20	Middlesboro	Bill Wilson
1974	Owensboro	14-7	Middlesboro	Gerald Poynter
1973	Paducah Tilghman	27-8	Boyd County	Dan Haley
1972	Tates Creek	16-7	Paul Blazer	Roy Walton
1971	Bryan Station	14-3	Madisonville	Terry Clark
1970	Highlands	30-13	Madisonville	Mike Murphy
1969	Elizabethtown	21-8	Bryan Station	Vince Hancock
1968	Highlands	32-7	Elizabethtown	Mike Murphy
1967	Paul Blazer	19-14	Elizabethtown	Jake Hallum
1966	Hopkinsville	27-6	Highlands	Fleming Thornton
1965	Hopkinsville	24-6	Middlesboro	Fleming Thornton
1964	Highlands	36-0	Madison	Owen Hauck
1963	Caldwell County	14-7	Highlands	Fred Clayton
1962	Danville	13-6	Corbin	Ray Callahan
1961	Highlands	12-0	Madison	Homer Rice
1960	Highlands	21-13	Lafayette	Homer Rice
1959	Henderson	12-7	Highlands	Don Shelton
