Entrant	Constructor	Chassis	Engine	Tyre	Driver	Rounds
Scuderia Ferrari	Ferrari	641	Ferrari 036 3.5 V12 Ferrari 037 3.5 V12	G	Alain Prost	All
Scuderia Ferrari	Ferrari	641	Ferrari 036 3.5 V12 Ferrari 037 3.5 V12	G	Nigel Mansell	All
Tyrrell Racing Organisation	Tyrrell - Ford	018 019	Ford Cosworth DFR 3.5 V8	P	Satoru Nakajima	All
Tyrrell Racing Organisation	Tyrrell - Ford	018 019	Ford Cosworth DFR 3.5 V8	P	Jean Alesi	All
Canon Williams Team	Williams - Renault	FW13B	Renault RS2 3.5 V10	G	Thierry Boutsen	All
Canon Williams Team	Williams - Renault	FW13B	Renault RS2 3.5 V10	G	Riccardo Patrese	All
Motor Racing Developments	Brabham - Judd	BT58 BT59	Judd EV 3.5 V8	P	Gregor Foitek	1–2
Motor Racing Developments	Brabham - Judd	BT58 BT59	Judd EV 3.5 V8	P	David Brabham	3–16
Motor Racing Developments	Brabham - Judd	BT58 BT59	Judd EV 3.5 V8	P	Stefano Modena	All
Footwork Arrows Racing	Arrows - Ford	A11 A11B	Ford Cosworth DFR 3.5 V8	G	Michele Alboreto	All
Footwork Arrows Racing	Arrows - Ford	A11 A11B	Ford Cosworth DFR 3.5 V8	G	Bernd Schneider	1, 14
Footwork Arrows Racing	Arrows - Ford	A11 A11B	Ford Cosworth DFR 3.5 V8	G	Alex Caffi	2–13, 15–16
Camel Team Lotus	Lotus - Lamborghini	102	Lamborghini 3512 3.5 V12	G	Derek Warwick	All
Camel Team Lotus	Lotus - Lamborghini	102	Lamborghini 3512 3.5 V12	G	Martin Donnelly	1–14
Camel Team Lotus	Lotus - Lamborghini	102	Lamborghini 3512 3.5 V12	G	Johnny Herbert	15–16
Osella Squadra Corse	Osella - Ford	FA1M89 FA1ME	Ford Cosworth DFR 3.5 V8	P	Olivier Grouillard	All
Leyton House Racing	Leyton House - Judd	CG901	Judd EV 3.5 V8	G	Maurício Gugelmin	All
Leyton House Racing	Leyton House - Judd	CG901	Judd EV 3.5 V8	G	Ivan Capelli	All
Automobiles Gonfaronaise Sportive	AGS - Ford	JH24 JH25	Ford Cosworth DFR 3.5 V8	G	Gabriele Tarquini	All
Automobiles Gonfaronaise Sportive	AGS - Ford	JH24 JH25	Ford Cosworth DFR 3.5 V8	G	Yannick Dalmas	All
Benetton Formula Ltd	Benetton - Ford	B189B B190	Ford HBA4 3.5 V8	G	Alessandro Nannini	1–14
Benetton Formula Ltd	Benetton - Ford	B189B B190	Ford HBA4 3.5 V8	G	Roberto Moreno	15–16
Benetton Formula Ltd	Benetton - Ford	B189B B190	Ford HBA4 3.5 V8	G	Nelson Piquet	All
BMS Scuderia Italia	Dallara - Ford	F190	Ford Cosworth DFR 3.5 V8	P	Gianni Morbidelli	1–2
BMS Scuderia Italia	Dallara - Ford	F190	Ford Cosworth DFR 3.5 V8	P	Emanuele Pirro	3–16
BMS Scuderia Italia	Dallara - Ford	F190	Ford Cosworth DFR 3.5 V8	P	Andrea de Cesaris	All
SCM Minardi Team	Minardi - Ford	M189 M190	Ford Cosworth DFR 3.5 V8	P	Pierluigi Martini	All
SCM Minardi Team	Minardi - Ford	M189 M190	Ford Cosworth DFR 3.5 V8	P	Paolo Barilla	1–14
SCM Minardi Team	Minardi - Ford	M189 M190	Ford Cosworth DFR 3.5 V8	P	Gianni Morbidelli	15–16
Equipe Ligier Gitanes	Ligier - Ford	JS33B	Ford Cosworth DFR 3.5 V8	G	Nicola Larini	All
Equipe Ligier Gitanes	Ligier - Ford	JS33B	Ford Cosworth DFR 3.5 V8	G	Philippe Alliot	All
Honda Marlboro McLaren	McLaren - Honda	MP4/5B	Honda RA109E 3.5 V10	G	Ayrton Senna	All
Honda Marlboro McLaren	McLaren - Honda	MP4/5B	Honda RA109E 3.5 V10	G	Gerhard Berger	All
ESPO Larrousse F1	Lola - Lamborghini	LC89B LC90	Lamborghini 3512 3.5 V12	G	Éric Bernard	All
ESPO Larrousse F1	Lola - Lamborghini	LC89B LC90	Lamborghini 3512 3.5 V12	G	Aguri Suzuki	All
Subaru Coloni Racing	Coloni - Subaru	C3B	Subaru 1235 F12	G	Bertrand Gachot	1-8
Subaru Coloni Racing	Coloni - Ford	C3C	Ford Cosworth DFR 3.5 V8	G	Bertrand Gachot	9-16
EuroBrun Racing	EuroBrun - Judd	ER189B	Judd CV 3.5 V8	P	Roberto Moreno	1–14
EuroBrun Racing	EuroBrun - Judd	ER189B	Judd CV 3.5 V8	P	Claudio Langes	1–14
Monteverdi Onyx Formula One	Onyx - Ford	ORE-1 ORE-1B	Ford Cosworth DFR 3.5 V8	G	Stefan Johansson	1–2
Monteverdi Onyx Formula One	Onyx - Ford	ORE-1 ORE-1B	Ford Cosworth DFR 3.5 V8	G	Gregor Foitek	3–10
Monteverdi Onyx Formula One	Onyx - Ford	ORE-1 ORE-1B	Ford Cosworth DFR 3.5 V8	G	JJ Lehto	1–10
Life Racing Engines	Life	F190	Life F35 3.5 W12	G	Gary Brabham	1–2
Life Racing Engines	Life	F190	Life F35 3.5 W12	G	Bruno Giacomelli	3–12
Life Racing Engines	Life - Judd	F190	Judd CV 3.5 V8	G	Bruno Giacomelli	13–14
