Shirt No	Nationality	Player	Birth Date	Height	Position
1	United States	Matthew Anderson	April 18, 1987 (age26)	204	Outside Hitter
3	Russia	Nikolay Apalikov	August 26, 1982 (age31)	203	Middle blocker
4	Russia	Ivan Demakov	June 1, 1993 (age20)	209	Middle blocker
5	Italy	Valerio Vermiglio	March 1, 1976 (age37)	189	Setter
6	Russia	Eugeniy Sivozhelez	June 8, 1986 (age27)	196	Outside hitter
7	Russia	Aleksandr Volkov	February 14, 1985 (age28)	210	Middle blocker
8	Russia	Igor Kolodinsky	July 7, 1983 (age30)	197	Setter
9	Russia	Alexey Cheremisin	September 23, 1980 (age33)	204	Opposite hitter
10	Russia	Yury Berezhko	January 27, 1981 (age33)	198	Outside hitter
13	Russia	Vitaliy Matychenko	August 4, 1983 (age30)	194	Setter
14	Russia	Alexander Abrosimov	August 25, 1983 (age30)	207	Middle blocker
15	Russia	Alexey Obmochaev	May 22, 1989 (age24)	188	Libero
17	Russia	Vladislav Babichev	February 18, 1981 (age32)	185	Libero
