#	Name	Position	Height	Weight	Year	Home Town	Last School
1	Anthony Brock	Guard	5–9	165	Senior	Little Rock, Ark.	Itawamba CC
2	Mikhail Torrance	Guard	6–5	210	Senior	Eight Mile, Ala.	Mary Montgomery HS
5	Tony Mitchell	Forward	6–6	185	Freshman	Swainsboro, Ga.	Central Park Christian HS
10	Ben Eblen	Guard	6–1	180	Freshman	Isle of Palms, S.C.	Florida Air Academy
20	Greg Cage	Guard	6–4	212	Senior	Indianapolis, Ind.	Bishop Chatard HS
21	Senario Hillman	Guard	6–1	192	Junior	Irwinton, Ga.	Wilkinson County HS
23	Demetrius Jemison	Forward	6–8	240	Senior	Birmingham, Ala.	Huffman HS
24	Charvez Davis	Guard	6–3	190	Junior	Montgomery, Ala.	Northwest Florida State College
25	Andrew Steele	Guard	6–3	215	Sophomore	Birmingham, Ala.	John Carroll HS
32	JaMychal Green	Forward	6–9	220	Sophomore	Montgomery, Ala.	St. Jude HS
40	Justin Knox	Forward	6–9	240	Junior	Tuscaloosa, Ala.	Central HS
