Driver	Points	Wins	Top 5	Top 10
Justin Allgaier	5260	6	14	16
Frank Kimmel	5210	3	11	14
Matt Carter	5175	1	8	14
Ricky Stenhouse, Jr.	5155	2	10	14
Scott Speed	5150	4	10	17
Patrick Sheltra	4580	0	4	9
John Wes Townley	4540	0	1	8
Tom Hessert III	4465	0	1	7
Tayler Malsam	4410	0	3	5
Ken Butler III	4365	0	1	7
Dexter Bean	4285	0	4	6
Bryan Silas	4230	0	0	7
Justin Lofton	3975	1	3	5
Gabi DiCarlo	3790	0	0	3
Darrell Basham	3565	0	0	0
Michael Phelps	3365	0	0	3
Brad Smith	3360	0	0	0
Donny Kelley	3320	0	0	0
Norm Benning	3260	0	0	1
Mike Harmon	3040	0	0	1
