Shooter	Event	Rank points	Score points	Total
Matthew Emmons ( USA )	WCF 2007	Defending champion	Defending champion	Defending champion
Qiu Jian ( CHN )	OG Beijing	Olympic gold medalist	Olympic gold medalist	Olympic gold medalist
Jury Sukhorukov ( UKR )	OG Beijing	Olympic silver medalist	Olympic silver medalist	Olympic silver medalist
Rajmond Debevec ( SLO )	OG Beijing	Olympic bronze medalist	Olympic bronze medalist	Olympic bronze medalist
Jia Zhanbo ( CHN )	WC Munich	15	9	24
Artur Ayvazyan ( UKR )	WC Milan	15	4	19
Josselin Henry ( FRA )	WC Beijing	15	2	17
Thomas Farnik ( AUT )	WC Rio de Janeiro	15	0	15
Sergei Kovalenko ( RUS )	WC Munich	8	4	12
Artem Khadjibekov ( RUS )	WC Munich	10	1	11
Maik Eckhardt ( GER )	WC Milan	10	0	10
Vebjørn Berg ( NOR )	WC Rio de Janeiro	8	0	8
