Date	Opponents	H / A	Result F – A	Attendance
5 September 1903	Bristol City	H	2 – 2	40,000
7 September 1903	Burnley	A	0 – 2	5,000
12 September 1903	Burslem Port Vale	A	0 – 1	3,000
19 September 1903	Glossop	H	5 – 0	3,000
26 September 1903	Bradford City	H	3 – 1	30,000
3 October 1903	Woolwich Arsenal	A	0 – 4	20,000
10 October 1903	Barnsley	H	4 – 0	20,000
17 October 1903	Lincoln City	A	0 – 0	5,000
24 October 1903	Stockport County	H	3 – 1	15,000
7 November 1903	Bolton Wanderers	H	0 – 0	30,000
21 November 1903	Preston North End	H	0 – 2	15,000
19 December 1903	Gainsborough Trinity	H	4 – 2	6,000
25 December 1903	Chesterfield	H	3 – 1	15,000
26 December 1903	Burton United	A	2 – 2	4,000
2 January 1904	Bristol City	A	1 – 1	8,000
9 January 1904	Burslem Port Vale	H	2 – 0	10,000
16 January 1904	Glossop	H	3 – 1	10,000
23 January 1904	Bradford City	A	3 – 3	12,000
30 January 1904	Woolwich Arsenal	H	1 – 0	40,000
13 February 1904	Lincoln City	H	2 – 0	8,000
9 March 1904	Blackpool	A	1 – 2	3,000
12 March 1904	Burnley	H	3 – 1	14,000
19 March 1904	Preston North End	A	1 – 1	7,000
26 March 1904	Grimsby Town	H	2 – 0	12,000
28 March 1904	Stockport County	A	3 – 0	2,500
1 April 1904	Chesterfield	A	2 – 0	5,000
2 April 1904	Leicester Fosse	A	1 – 0	4,000
5 April 1904	Barnsley	A	2 – 0	5,000
9 April 1904	Blackpool	H	3 – 1	10,000
12 April 1904	Grimsby Town	A	1 – 3	8,000
16 April 1904	Gainsborough Trinity	A	1 – 0	4,000
23 April 1904	Burton United	H	2 – 0	8,000
25 April 1904	Bolton Wanderers	A	0 – 0	10,000
30 April 1904	Leicester Fosse	H	5 – 2	7,000
