Name	Map colour	First operated	Type	Length	No. Sta	Current Stock	Future Stock	Trips per annum (×1000)	Avg. trips per mile (×1000)
Bakerloo line	Brown	1906	Deep Tube	23.2km 14.5 mi	25	1972 Stock	N/A	111136	7665
Central line	Red	1900	Deep Tube	74 .0 km 46 .0 mi	49	1992 Stock	N/A	260916	5672
Circle line	Yellow	1871	Sub surface	27.2km 17 .0 mi	36	C Stock S Stock	S Stock (Currently replacing C Stock)	114609	4716
District line	Green	1868	Sub surface	64 .0 km 40 .0 mi	60	C Stock and D78 Stock	S Stock from 2014	208317	5208
Hammersmith & City line	Pink	1864	Sub surface	25.5km 15.9 mi	29	C Stock S Stock	S Stock (Currently replacing C Stock)	114609	4716
Jubilee line	Silver	1979	Deep Tube	36.2km 22.5 mi	27	1996 Stock	N/A	213554	9491
Metropolitan line	Purple	1863	Sub surface	66.7km 41.5 mi	34	S Stock	N/A	66779	1609
Northern line	Black	1890	Deep Tube	58 .0 km 36 .0 mi	50	1995 Stock	N/A	252310	7009
Piccadilly line	Dark Blue	1906	Deep Tube	71 .0 km 44.3 mi	53	1973 Stock	N/A	210169	4744
Victoria line	Light Blue	1968	Deep Tube	21 .0 km 13.3 mi	16	2009 Stock	N/A	199988	15093
Waterloo & City line	Turquoise	1898	Deep Tube	2.5km 1.5 mi	2	1992 Stock	N/A	15892	10595
