Series #	Season #	Title	Director	Writer(s)	Airdate
45	6	" Indian White "	Ted Post Category:Articles with hCards	Tom Hanley, Jr. Category:Articles with hCards	October 27, 1956
46	7	" How to Cure a Friend "	Ted Post Category:Articles with hCards	John Meston Category:Articles with hCards	November 10, 1956
47	8	" Legal Revenge "	Andrew V. McLaglen Category:Articles with hCards	John Meston Category:Articles with hCards	November 17, 1956
48	9	" The Mistake "	Andrew V. McLaglen Category:Articles with hCards	John Meston Category:Articles with hCards	November 24, 1956
49	10	" Greater Love "	Ted Post Category:Articles with hCards	John Meston Category:Articles with hCards	December 1, 1956
50	11	" No Indians "	Ted Post Category:Articles with hCards	John Meston Category:Articles with hCards	December 8, 1956
51	12	" Spring Term "	Ted Post Category:Articles with hCards	John Meston Category:Articles with hCards	December 15, 1956
52	13	" Poor Pearl "	Andrew V. McLaglen Category:Articles with hCards	John Meston Category:Articles with hCards	December 22, 1956
53	14	" Cholera "	Andrew V. McLaglen Category:Articles with hCards	John Meston Category:Articles with hCards	December 29, 1956
54	15	" Pucket's New Year "	Andrew V. McLaglen Category:Articles with hCards	John Meston Category:Articles with hCards	January 5, 1957
55	16	" The Cover Up "	William D. Russell Category:Articles with hCards	John Meston Category:Articles with hCards	January 12, 1957
56	17	" Sins of the Father "	Andrew V. McLaglen Category:Articles with hCards	John Meston Category:Articles with hCards	January 19, 1957
59	20	" Gone Straight "	Ted Post Category:Articles with hCards	John Meston Category:Articles with hCards	February 9, 1957
60	21	" Bloody Hands "	Andrew V. McLaglen Category:Articles with hCards	John Meston Category:Articles with hCards	February 16, 1957
61	22	" Skid Row "	Ted Post Category:Articles with hCards	John Meston Category:Articles with hCards	February 23, 1957
62	23	" Sweet and Sour "	Andrew V. McLaglen Category:Articles with hCards	John Meston Category:Articles with hCards	March 2, 1957
63	24	" Cain "	Ted Post Category:Articles with hCards	John Meston Category:Articles with hCards	March 9, 1957
64	25	" Bureaucrat "	Ted Post Category:Articles with hCards	John Meston Category:Articles with hCards	March 16, 1957
65	26	" Last Fling "	Ted Post Category:Articles with hCards	John Meston Category:Articles with hCards	March 23, 1957
66	27	" Chester's Murder "	Ted Post Category:Articles with hCards	John Meston Category:Articles with hCards	March 30, 1957
67	28	" The Photographer "	William D. Russell Category:Articles with hCards	John Dunkel Category:Articles with hCards	April 6, 1957
68	29	" Wrong Man "	Andrew V. McLaglen Category:Articles with hCards	John Meston Category:Articles with hCards	April 13, 1957
69	30	" Big Girl Lost "	Ted Post Category:Articles with hCards	John Meston Category:Articles with hCards	April 20, 1957
70	31	" What the Whiskey Drummer Heard "	Andrew V. McLaglen Category:Articles with hCards	John Meston Category:Articles with hCards	April 27, 1957
71	32	" Cheap Labor "	Andrew V. McLaglen Category:Articles with hCards	John Meston Category:Articles with hCards	May 4, 1957
72	33	" Moon "	William D. Russell Category:Articles with hCards	John Meston Category:Articles with hCards	May 11, 1957
73	34	" Who Lives by the Sword "	Andrew V. McLaglen Category:Articles with hCards	John Meston Category:Articles with hCards	May 18, 1957
74	35	" Uncle Oliver "	Andrew V. McLaglen Category:Articles with hCards	John Meston Category:Articles with hCards	May 25, 1957
75	36	" Daddy-O "	Andrew V. McLaglen Category:Articles with hCards	John Meston Category:Articles with hCards	June 1, 1957
