Name	GP-GS	Gain	Loss	Long	Avg/G
EDWARDS, Antwan	10–6	516	76	47	44.0
BABB, Justin	10–0	162	15	24	14.7
MAY, Reginald	5–2	102	3	16	19.8
WILLIAMS, Reggie	10–0	105	17	24	8.8
BEARD, Jamie	10–8	93	12	39	8.1
MCCRARY, Greg	7–3	183	133	25	7.1
KILCREASE, Jacorey	7–5	116	68	20	6.9
COCHRAN, Vince	9–0	11	9	11	0.2
RHINES, Chris	9–1	28	28	18	0.0
HOLLINGER, Deleon	10–7	0	1	0	-0.1
TEAM	4–0	0	1	0	-0.2
WEBSTER, Brandon	2–0	0	11	0	-5.5
JOHNSON, Jeremy	10–0	0	43	0	-4.3
Total	10	1316	417	47	89.9
Opponents	10	2254	220	80	203.4
