Heat	Lane	Name	Nationality	Time
6	4	Ryan Lochte	United States	1:56.29
5	4	Aaron Peirsol	United States	1:56.35
4	4	Markus Rogan	Austria	1:56.64
5	5	Arkady Vyatchanin	Russia	1:56.97
6	5	Gregor Tait	Great Britain	1:57.03
4	5	Hayden Stoeckel	Australia	1:57.15
5	3	Ryosuke Irie	Japan	1:57.68
6	7	Gordan Kožulj	Croatia	1:57.81
6	3	Ashley Delaney	Australia	1:57.87
4	3	Răzvan Florea	Romania	1:57.97
5	6	Helge Meeuw	Germany	1:58.42
4	2	Damiano Lestingi	Italy	1:58.53
3	7	George Du Rand	South Africa	1:58.62
6	6	Stanislav Donets	Russia	1:58.68
6	8	Keith Beavers	Canada	1:58.84
3	4	Tobias Oriwol	Canada	1:58.94
5	2	Pierre Roger	France	1:59.01
3	1	Omar Pinzón	Colombia	1:59.11
4	1	Sebastian Stoss	Austria	1:59.44
6	1	Roland Rudolf	Hungary	1:59.44
4	6	Takashi Nakano	Japan	1:59.59
3	6	Derya Büyükuncu	Turkey	1:59.86
5	8	Lucas Salatta	Brazil	1:59.91
5	1	Nick Driebergen	Netherlands	2:00.24
5	7	Mattia Aversa	Italy	2:00.25
3	8	Kim Ji-Heun	South Korea	2:00.72
2	5	Itai Chammah	Israel	2:00.93
3	2	Pedro Oliveira	Portugal	2:01.08
1	4	Brett Fraser	Cayman Islands	2:01.17
2	1	Pedro Medel	Cuba	2:01.32
4	7	Gabor Balog	Hungary	2:01.42
3	3	Jonathan Massacand	Switzerland	2:01.80
1	5	Oleg Rabota	Kazakhstan	2:01.95
4	8	Simon Dufour	France	2:02.00
3	5	Dimitrios Chasiotis	Greece	2:02.30
2	2	Květoslav Svoboda	Czech Republic	2:03.12
2	4	Deng Jian	China	2:03.34
1	3	Sergey Pankov	Uzbekistan	2:03.51
2	6	Oleksandr Isakov	Ukraine	2:03.59
2	3	Andres Olvik	Estonia	2:03.66
2	7	Simon Sjödin	Sweden	DNS
6	2	Aschwin Wildeboer Faber	Spain	DNS
