Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Club	Played	Won	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Gilfach Goch RFC	22	16	1	5	560	343	65	37	7	3	76
Treorchy RFC	22	15	0	7	636	382	79	44	10	2	72
Rhydyfelin RFC	22	13	2	7	525	431	73	51	11	4	71
Mountain Ash RFC	22	13	3	6	404	292	50	33	6	3	67
Brynmawr RFC	22	11	0	11	508	406	65	47	9	7	60
Ynysybwl RFC	22	10	0	12	416	453	55	54	7	5	52
Llantrisant RFC	22	10	1	11	438	532	54	69	5	5	52
Penallta RFC	22	11	0	11	416	488	50	63	2	2	48
Llantwit Fardre RFC	22	10	1	11	392	470	50	60	2	1	45
Abercynon RFC	22	8	0	14	418	546	41	73	5	3	40
Newport Saracens RFC	22	6	1	15	365	453	49	56	3	6	35
Garndiffaith RFC	22	4	1	17	393	675	45	89	5	4	27
