Rnd	Circuit	Location	Date	Pole position	Fastest lap	Most laps led	Winning driver	Winning team	Supporting
1	Sebring Raceway	Sebring, Florida	March 17	Zach Veach	Zach Veach	Zach Veach	Zach Veach	Andretti Autosport	ALMS
2	Sebring Raceway	Sebring, Florida	March 18	Zach Veach	Luke Ellery	Petri Suvanto Luke Ellery	Luke Ellery	JDC MotorSports	ALMS
3	Streets of St. Petersburg	St. Petersburg, Florida	March 26	Spencer Pigot	Petri Suvanto	Spencer Pigot	Spencer Pigot	Andretti Autosport	IndyCar Series
4	Streets of St. Petersburg	St. Petersburg, Florida	March 27	Petri Suvanto	Petri Suvanto	Petri Suvanto	Petri Suvanto	Cape Motorsports	IndyCar Series
5	Lucas Oil Raceway at Indianapolis	Clermont, Indiana	May 28	Petri Suvanto	Petri Suvanto	Petri Suvanto	Petri Suvanto	Cape Motorsports	USAC Midgets
6	Milwaukee Mile	West Allis, Wisconsin	June 19	Zach Veach	Luke Ellery	Wayne Boyd	Wayne Boyd	Belardi Auto Racing	IndyCar Series
7	Mid-Ohio Sports Car Course	Lexington, Ohio	August 6	Petri Suvanto	Petri Suvanto	Petri Suvanto	Petri Suvanto	Cape Motorsports	IndyCar Series
8	Mid-Ohio Sports Car Course	Lexington, Ohio	August 7	Petri Suvanto	Petri Suvanto	Petri Suvanto	Petri Suvanto	Cape Motorsports	IndyCar Series
9	Road America	Elkhart Lake, Wisconsin	August 19	Spencer Pigot	Spencer Pigot	Wayne Boyd Spencer Pigot	Spencer Pigot	Andretti Autosport	ALMS
10	Road America	Elkhart Lake, Wisconsin	August 20	Spencer Pigot	Spencer Pigot	Wayne Boyd Spencer Pigot	Petri Suvanto	Cape Motorsports	ALMS
11	Streets of Baltimore	Baltimore, Maryland	September 3	Petri Suvanto	Spencer Pigot	Wayne Boyd	Wayne Boyd	Belardi Auto Racing	IndyCar Series
