Week	Date	Opponent	Result	Attendance
1	September 16, 1973	Houston Oilers	W 34–14	57,979
2	September 23, 1973	Philadelphia Eagles	T 23–23	62,289
3	September 30, 1973	at Cleveland Browns	L 12–10	76,065
4	October 7, 1973	Green Bay Packers	L 16–14	70,050
5	October 14, 1973	Washington Redskins	L 21–3	70,168
6	October 21, 1973	at Dallas Cowboys	L 45–28	58,741
7	October 28, 1973	at St. Louis Cardinals	L 35–27	47,589
8	November 4, 1973	at Oakland Raiders	L 42–0	51,200
9	November 11, 1973	Dallas Cowboys	L 23–10	70,128
10	November 18, 1973	St. Louis Cardinals	W 24–13	65,795
11	November 25, 1973	at Philadelphia Eagles	L 20–16	63,086
12	December 2, 1973	at Washington Redskins	L 27–24	53,590
13	December 10, 1973	at Los Angeles Rams	L 40–6	73,328
14	December 16, 1973	Minnesota Vikings	L 31–7	70,041
