Years	Winners	Runners-Up	Score	Third
1999 La Manga Cup	Rosenborg	Stabæk	2 – 2	Brann
2000 La Manga Cup	Brøndby IF	Rosenborg	2 – 0	Helsingborgs IF
2001 La Manga Cup	Rosenborg	AIK	2 – 1	FC Lokomotiv Moscow
2002 La Manga Cup	Helsingborgs IF	Lillestrøm	2 – 2	Viking
2003 La Manga Cup	Rosenborg	Odd Grenland	1 – 0	Los Angeles Galaxy
2004 La Manga Cup	MetroStars	Viking	1 – 0	San Jose Earthquakes
2005 La Manga Cup	Rubin Kazan	Lillestrøm	N/A	Lyn
2006 La Manga Cup	Rubin Kazan	Krylia Sovetov	4 – 0	Dynamo Moscow
2007 La Manga Cup	Vålerenga	Lillestrøm	N/A	Rosenborg
2008 La Manga Cup I	Shakhtar Donetsk	Viking	3 – 0	Stabæk
2008 La Manga Cup II	Kalmar FF	Brøndby IF	2 – 0	Tromsø
2009 La Manga Cup	FC Honka	FC Nordsjælland	1 – 1	Krylia Sovetov
2010 La Manga Cup	Molde	FC Nordsjælland	2 – 1	Rosenborg
2011 La Manga Cup	Viking	Start	N/A	Randers FC
2012 La Manga Cup	FC Nordsjælland	Vålerenga	N/A	Viking
2013 La Manga Cup	CSKA Moscow	Vålerenga	N/A	Kalmar
