Episodes	Monday	Tuesday	Wednesday	Thursday	Friday
Sep. 20-24	183 The Town	184 Halo Reach	185 Dungeons & Dragons Encounters	186 No Ordinary Family	187 VS.
Sep. 27 - Oct. 1	188 Legends of the Guardians: Owls of Ga'Hoole	189 Sid Meier's Civilization V	190 Boardwalk Empire	191 The Social Network	192 Tagline Takedown
Oct. 4 - Oct. 8	193 Let Me In	194 Enslaved: Odyssey to the West	195 The Devil's Radvocate	196 Buried	197 Catfish Special
Oct. 11 - Oct. 15	198 The Rad Report	199 Def Jam Rapstar	200 Red Comic	201 Red Movie	202 Media Mashup
Oct. 25 - Oct. 29	208 Blizzcon 2010	209 Geocaching	210 Kirby's Epic Yarn	211 Monsters and Paranormal Activity 2	212 The Walking Dead
Nov. 1 - Nov. 5	213 Star Wars: The Force Unleashed 2	214 Fallout: New Vegas	215 Media Mashup	216 Megamind	217 Music
Nov. 8 - Nov. 12	218 Fair Game	219 Rock Band 3	220 What's the Score	221 Sherlock	222 VS.
Nov. 15 - Nov. 19	223 Call of Duty: Black Ops	224 Assassin's Creed: Brotherhood Circus Training	225 Kinect Adventures	226 127 Hours	227 Tagline Takedown
Nov. 22 - Nov. 26	228 Harry Potter and the Deathly Hallows Part 1	229 Need for Speed: Hot Pursuit	230 Tangled	231 Comfort Zone Camp	232 As Seen on TV: Pancake Puffs
Nov. 29 - Dec. 3	233 Green Lantern	234 Global Agenda	235 Dance Central	236 Superman: Earth One	237 Charades
Dec. 6 - Dec. 10	238 Black Swan	239 Epic Mickey	240 ElecTRONica	241 Donkey Kong Country Returns	242 VS.
Dec. 13 - Dec. 17	243 The Fighter	244 Jeff's Marathon Training	245 World of Warcraft: Cataclysm	246 Tron: Legacy	247 Media Mashup
