Week	Date	Opponent	Result	Attendance
1	September 12, 2004	at Denver Broncos	L 34–24	75,939
2	September 19, 2004	Carolina Panthers	L 28–17	78,136
3	September 26, 2004	Houston Texans	L 24–21	77,433
4	October 4, 2004	at Baltimore Ravens	W 27–24	69,827
5	Bye	Bye	Bye	Bye
6	October 17, 2004	at Jacksonville Jaguars	L 22–16	66,413
7	October 24, 2004	Atlanta Falcons	W 56–10	78,260
8	October 31, 2004	Indianapolis Colts	W 45–35	78,312
9	November 7, 2004	at Tampa Bay Buccaneers	L 34–31	65,495
10	November 14, 2004	at New Orleans Saints	L 27–20	64,900
11	November 22, 2004	New England Patriots	L 27–19	78,431
12	November 28, 2004	San Diego Chargers	L 34–31	77,447
13	December 5, 2004	at Oakland Raiders	W 34–27	51,292
14	December 13, 2004	at Tennessee Titans	W 49–38	68,932
15	December 19, 2004	Denver Broncos	W 45–17	77,702
16	December 25, 2004	Oakland Raiders	W 31–30	77,289
17	January 2, 2005	at San Diego Chargers	L 24–17	64,920
