Result	Record	Opponent	Method	Round	Time	Location
Loss	16-19	Raul Cătinaş	Decision (unanimous)	3	3:00	Bucharest, Romania
Loss	16-18	Rick Roufus	Decision (split)	3	3:00	Los Angeles, California , United States
Loss	16-17	Florian Pavic	Decision	5	3:00	Munich, Germany
Loss	16-16	Raoumaru	KO (knee)	3	2:49	Tokyo, Japan
Loss	16-15	Ben Edwards	KO (right knee)	2	2:18	Canberra, Australia
Loss	16-14	Mladen Brestovac	KO (left kick to the body)	1	2:18	Constanța , Romania
Loss	16-13	Sergei Kharitonov	KO (right uppercut)	1	1:59	Moscow, Russia
Loss	16-12	Peter Aerts	KO (punches and kick)	1	2:20	Tokyo, Japan
Win	16-11	Raul Cătinaş	Decision (unanimous)	3	3:00	Seoul, South Korea
Loss	15-11	Sebastian Ciobanu	KO (kicked in the throat)	1	2:24	Bucharest, Romania
Win	15-10	Roman Kleibl	KO	3	1:56	Bucharest, Romania
Loss	14-10	Cătălin Moroşanu	Extra round decision (split)	4	3:00	Arad, Romania
Win	14-9	Justice Smith	Decision (majority)	3	3:00	Honolulu, Hawaii, USA
Loss	13-9	Kyotaro	Extra round decision (unanimous)	4	3:00	Yokohama, Japan
Loss	13-8	Paul Slowinski	TKO (low kicks)	2	0:50	Yokohama, Japan
Loss	13-7	Choi Hong-man	Decision (unanimous)	3	3:00	Seoul, South Korea
Loss	13-6	Stefan Leko	Decision (unanimous)	3	3:00	Las Vegas, Nevada, USA
Loss	13-5	Semmy Schilt	Decision (unanimous)	3	3:00	Amsterdam, Netherlands
Win	13-4	Aleksandr Pitchkounov	KO (punches)	3	0:46	Honolulu, Hawaii, USA
Win	12-4	Jan Nortje	KO (right punch)	2	1:50	Honolulu, Hawaii, USA
Win	11-4	Kim Kyoung-Suk	KO (straight punch)	1	1:37	Honolulu, Hawaii, USA
Win	10-4	Choi Hong-man	KO (right overhand)	2	0:50	Yokohama, Japan
Win	9-4	Abdel Lamidi	KO (right overhand)	1	2:17	Riga, Latvia
Loss	8-4	Remy Bonjasky	Decision (unanimous)	3	3:00	Sapporo, Japan
Loss	8-3	Peter Aerts	KO (left low kick)	2	0:42	Osaka, Japan
Win	8-2	Francois Botha	TKO (3 knockdowns)	1	1:20	Las Vegas, Nevada, USA
Win	7-2	Remy Bonjasky	Decision (split)	3	3:00	Las Vegas, Nevada, USA
Loss	6-2	Kaoklai Kaennorsing	KO (right high kick)	1	2:40	Tokyo, Japan
Win	6-1	Gary Goodridge	TKO (3 knockdowns)	1	2:58	Tokyo, Japan
Win	5-1	Brecht Wallis	KO (right overhand)	2	2:55	Las Vegas, Nevada, USA
Win	4-1	Scott Lighty	KO (right overhand)	1	1:29	Las Vegas, Nevada, USA
Win	3-1	Sergei Gur	Decision (unanimous)	3	3:00	Las Vegas, Nevada, USA
Loss	2-1	Dewey Cooper	Decision (unanimous)	3	3:00	Las Vegas, Nevada, USA
Win	2-0	Carter Williams	TKO	3	1:52	Las Vegas, Nevada, USA
Win	1-0	Hiraku Hori	KO (right hook)	4	1:22	Okinawa, Japan
