Name	Pos.	Height	Weight	Club
Scott Fava Category:Articles with hCards	Prop	m ()	kg (lb)	Western Force
Josh Gamgee Category:Articles with hCards	Halfback, hooker	m ()	kg (lb)	Gordon RFC
Matt Giteau Category:Articles with hCards	Fly-half, halfback	m ()	kg (lb)	ACT Brumbies
Luke Inman Category:Articles with hCards	Centre	m ()	kg (lb)	Sydney University Football Club
Chris Latham Category:Articles with hCards	Fullback, hooker	m ()	kg (lb)	Queensland Reds
Shawn Mackay Category:Articles with hCards	Prop	m ()	kg (lb)	Randwick DRUFC
Michael McVerry Category:Articles with hCards	Prop	m ()	kg (lb)	Randwick DRUFC
Damon Murphy Category:Articles with hCards	Fullback	m ()	kg (lb)	Brothers Old Boys
Nick Reily Category:Articles with hCards	Fullback	m ()	kg (lb)	West Harbour RFC
Cameron Shepherd Category:Articles with hCards	Fullback	m ()	kg (lb)	Western Force
Lote Tuqiri Category:Articles with hCards	Fullback	m ()	kg (lb)	NSW Waratahs
Brendan Williams Category:Articles with hCards	Fullback	m ()	kg (lb)	Randwick DRUFC
