Round	Pick	Overall	Name	Position	College
1	7	7	Larry Isbell	RB	Baylor
2	6	19	Andy Davis	DB	George Washington [b ]
3	6	31	Al Dorow	QB	Michigan State
4	6	43	Dick Hightower	C	Southern Methodist
5	6	55	Jim Clark	OT	Oregon State
6	6	67	Ed Kensler	G	Maryland
7	6	79	Vic Janowicz	HB	Ohio State
8	6	91	Hubert Johnston	OT	Iowa
9	6	103	Dick Alban	DB	Northwestern
10	6	115	Chet Ostrowski	DE	Notre Dame
11	6	127	Orlanda Mazza	E	Michigan State
12	6	139	Frank Middendorf	C	Cincinnati
13	6	151	Ray Potter	OT	Louisiana State
14	6	163	Doug Conway	OT	Texas Christian
15	6	175	Julius Wittman	OT	Ohio State
16	6	187	Marv Berschet	G	Illinois
17	6	199	Gil Bocetti	RB	Washington & Lee
18	6	211	Ed Bartlett	E	California
19	6	223	Joe Marvin	RB	UCLA
20	6	235	Roger Kinson	C	Missouri
21	6	247	Dick Jenkins	OT	Illinois
22	6	259	Jim O'Rourke	RB	North Carolina State
23	6	271	Ken Barfield	OT	Mississippi
24	6	283	Ted Kirkland	E	Vanderbilt
25	6	295	Sal Gero	OT	Elon
26	6	307	Danny Goode	RB	Hardin-Simmons
27	6	319	Ben White	E	Southern Methodist
28	6	331	Ron Engel	RB	Minnesota
29	6	343	John Pappa	RB	California
30	6	355	Bob Linn	RB	Case Western
