Speaker	Party	City	County	Term
Sutton E. Young	Republican	Sioux Falls	Minnehaha	1889–1890
Charles X. Seward	Republican	Watertown	Codington	1891–1892
James Marshall Lawson	Republican	Aberdeen	Brown	1893–1894
Charles T. Howard	Republican	Redfield	Spink	1895–1896
John Colvin	Populist	Mitchell	Davison	1897–1898
Albert G. Somers	Republican	Strouseton	Grant	1899–1902
John L. Browne	Republican	Aberdeen	Brown	1903–1906
Morris J. Chaney	Republican	Wakonda	Clay	1907–1910
Charles J. Morris	Republican	Sioux Falls	Minnehaha	1911–1912
Peter J. Tscharner	Republican	Lemmon	Perkins	1913–1914
Charles A. Christopherson	Republican	Sioux Falls	Minnehaha	1915–1916
A.C. Roberts	Republican	Pierpont	Day	1917–1918
Lewis Benson	Republican	Flandreau	Moody	1919–1920
Christian O. Berdahl	Republican	Garretson	Minnehaha	1921–1922
Emmet Orville Frescoln	Republican	Winner	Tripp	1923–1924
Charles S. McDonald	Republican	Sioux Falls	Minnehaha	1925–1926
Ray F. Williamson	Republican	Aberdeen	Brown	1927–1928
Daniel K. Loucks	Republican	Watertown	Codington	1929–1930
B.W. McVeigh	Republican	Britton	Marshall	1931–1932
George Abild	Democratic	Pukwana	Brule	1933–1934
W. J. Eggert	Democratic	Rockham	Faulk	1935–1936
A. C. Miller	Republican	Kennebec	Lyman	1937–1940
George T. Mickelson	Republican	Selby	Walworth	1941–1942
O.H. Hove	Republican	Colman	Moody	1943–1944
Anton Christian Halls	Republican	Garretson	Minnehaha	1945–1946
George Wininger Mills	Republican	Wall	Pennington	1947–1948
Arthur E. Munck	Republican	Pierre	Hughes	1949–1950
Hugh H. Stokes	Republican	Flandreau	Moody	1951–1952
Hobart H. Gates	Republican	Custer	Custer	1953–1954
Nils A. Boe	Republican	Sioux Falls	Minnehaha	1955–1958
Archie M. Gubbrud	Republican	Alcester	Lincoln	1959–1960
Carl T. Burgess	Republican	Rapid City	Pennington	1961–1962
Paul E. Brown	Republican	Arlington	Kingsbury	1963–1964
Charles C. Droz	Republican	Miller	Hand	1965–1966
James D. Jelbert	Republican	Spearfish	Lawrence	1967–1968
Dexter H. Gunderson	Republican	Irene	Clay	1969–1970
Donald E. Osheim	Republican	Watertown	Codington	1971–1972
Gene N. Lebrun	Democratic	Rapid City	Pennington	1973–1974
Joseph H. Barnett	Republican	Aberdeen	Brown	1975–1976
Lowell C. Hansen II	Republican	Sioux Falls	Minnehaha	1977–1978
George S. Mickelson	Republican	Brookings	Brookings	1979–1980
Walter Dale Miller	Republican	New Underwood	Pennington	1981–1982
Jerome B. Lammers	Republican	Madison	Lake	1983–1984
Donald J. Ham	Republican	Rapid City	Pennington	1985–1986
Debra R. Anderson	Republican	Sioux Falls	Minnehaha	1987–1988
Royal J. 'Bud' Wood	Republican	Warner	Brown	1989–1990
E. James 'Jim' Hood	Republican	Spearfish	Lawrence	1991–1992
Steve K. Cutler	Republican	Claremont	Brown	1993–1994
Harvey C. Krautschun	Republican	Spearfish	Lawrence	1995–1996
Rexford A. 'Rex' Hagg	Republican	Rapid City	Pennington	1997–1998
Roger W. Hunt	Republican	Brandon	Minnehaha	1999–2000
Scott G. Eccarius	Republican	Rapid City	Pennington	2001–2002
Matthew J. W. Michels	Republican	Yankton	Yankton	2003–2006
Thomas J. Deadrick	Republican	Platte	Charles Mix	2007-present
