Season #	Series #	Title	Director(s)	Writer(s)	Original airdate
1	45	"Fairy Tale, Ending"	Karl Zwicky	Chris McCourt	12February2003
2	46	"Better The Devil You Know"	Karl Zwicky	Vicki Madden	19February2003
3	47	"The Road Home"	Bill Hughes	Ciula Sandler	26February2003
4	48	"An Affair To Forget"	Bill Hughes	Christina Milligan	5March2003
5	49	"Put To The Test"	Richard Jasek	Alexa Wyatt	12March2003
6	50	"The Wedding"	Richard Jasek	Jeff Trauman	19March2003
7	51	"Gone To The Dogs"	Cath Roden	Ysabelle Dean	2April2003
8	52	"The Ghost Of Things To Come"	Cath Roden	Denise Morgan	9April2003
9	53	"House Of Cards"	Karl Zwicky	Chris McCourt	23April2003
10	54	"Three Little Words"	Karl Zwicky	Dave Warner	30April2003
11	55	"Repeat Offenders"	Bill Hughes	Chris Hawkshaw	7May2003
12	56	"Sins Of The Father"	Bill Hughes	Shane Brennan	14May2003
13	57	"Jokers To The Right"	Cath Roden	Margaret Kelly	21May2003
14	58	"Chain Reaction"	Cath Roden	Jeff Truman	28May2003
15	59	"The Awful Truth"	Chris Martin-Jones	Chris McCourt	4June2003
16	60	"Seeing the Light"	Chris Martin-Jones	Ysabelle Dean	23July2003
17	61	"A Slight Interruption"	Karl Zwicky	Elizabeth Packett	30July2003
18	62	"Old Beginnings"	Karl Zwicky	Denise Morgan	6August2003
19	63	"Where There's Smoke"	Ali Ali	Chris Hawkshaw	13August2003
20	64	"Perfect Match"	Ali Ali	Jutta Goetze & Giula Sandler	20August2003
21	65	"Let The Best Man Win"	Chris Martin-Jones	Chris Pearce & Alexa Wyatt	27August2003
22	66	"Majority Rules"	Chris Martin-Jones	Chris Hawkshaw	3September2003
23	67	"The Ties That Blind"	Karl Zwicky	Dave Warner	10September2003
24	68	"One Step At A Time"	Karl Zwicky	Chris McCourt	17September2003
25	69	"Time Frames"	Ali Ali	Kathriene Thomson	24September2003
26	70	"Body Language"	Ali Ali	Giula Sandler	1October2003
27	71	"To Catch A Thief"	Chris Matin-Jones	Christina Milligan	8October2003
28	72	"My Noon, My Midnight"	Chris Martin-Jones	Chris Hawkshaw	15October2003
29	73	"The Long Goodbye"	Karl Zwicky	Denise Morgan	22October2003
