Name	Team	Laps	Time/Retired	Grid
Garth Tander	Toll HSV Dealer Team	27	52:35.5753	1
Jamie Whincup	Team Vodafone	27	52:35.9827	3
Craig Lowndes	Team Vodafone	27	52:36.9792	6
Russell Ingall	Stone Brothers Racing	27	52:38.4403	4
Greg Murphy	Tasman Motorsport	27	52:38.4473	8
James Courtney	Stone Brothers Racing	27	52:38.8810	2
Rick Kelly	Toll HSV Dealer Team	27	52:39.6331	11
Steven Johnson	Dick Johnson Racing	27	52:40.5402	7
Dean Canto	Garry Rogers Motorsport	27	52:42.0108	15
Jason Richards	Tasman Motorsport	27	52:42.5921	14
Will Davison	Dick Johnson Racing	27	52:43.2217	12
Lee Holdsworth	Garry Rogers Motorsport	27	52:46.3328	17
Max Wilson	WPS Racing	27	52:47.6625	20
Jason Bargwanna	WPS Racing	27	52:47.9577	18
Steve Owen	Autobarn Racing	27	52:49.7342	13
Jack Perkins	Jack Daniel's Racing	27	52:50.5548	22
Mark Skaife	Holden Racing Team	27	52:52.1881	16
Cameron McConville	Supercheap Auto Racing	27	52:52.8349	29
John Bowe	Paul Cruickshank Racing	27	52:53.6773	25
Mark Winterbottom	Ford Performance Racing	27	52:54.2361	31
Paul Dumbrell	Supercheap Auto Racing	27	53:47.8319	10
Shane Van Gisbergen	Team Kiwi Racing	26	52:47.2922	23
Alan Gurr	Britek Motorsport	26	52:56.4653	27
Owen Kelly	Team Sirromet Wines	26	53:09.3806	28
Jason Bright	Britek Motorsport	23	44:02.3081 (retired - accident)	21
Steven Richards	Ford Performance Racing	23	44:02.5801 (retired - accident)	5
Todd Kelly	Holden Racing Team	22	41:39.7166 (retired - accident)	9
Shane Price	Jack Daniel's Racing	19	36:34.5323 (retired)	26
Paul Morris	Team Sirromet Wines	13	26:11.5449 (retired - engine)	30
Simon Wills	Team BOC	10	19:02.4680 (retired - accident)	24
Andrew Jones	Team BOC	1	2:09.2048 (retired - engine)	19
