Place	Competitor	Downhill points	Slalom points	Total
1	Henri Oreiller ( FRA )	0.00	3.27	3.27
2	Karl Molitor ( SUI )	3.09	3.35	6.44
3	James Couttet ( FRA )	6.95	0.00	6.95
4	Edi Mall ( AUT )	8.06	0.48	8.54
5	Silvio Alverà ( ITA )	4.30	4.41	8.71
6	Hans Hansson ( SWE )	5.52	3.79	9.31
7	Vittorio Chierroni ( ITA )	8.28	1.41	9.69
8	Hans Nogler ( AUT )	4.63	5.33	9.96
9	Antonín Šponar ( TCH )	7.84	3.35	11.19
10	Edy Reinalter ( AUT )	8.83	3.18	12.01
11	Eberhard Kneisl ( AUT )	7.51	4.85	12.36
12	Jack Reddish ( USA )	9.71	3.53	13.24
13	Engelbert Haider ( AUT )	7.40	5.86	13.26
14	Luboš Brchel ( TCH )	9.82	5.03	14.85
15	Adolf Odermatt ( SUI )	6.51	9.13	15.64
16	Fernand Grosjean ( SUI )	4.52	12.09	16.61
17	Bjarne Arentz ( NOR )	7.73	9.44	17.17
18	Georges Panisset ( FRA )	9.38	9.00	18.38
19	Åke Nilsson ( SWE )	15.11	4.32	19.43
20	Marius Eriksen ( NOR )	8.17	11.51	19.68
21	Harvey Clifford ( CAN )	10.60	9.74	20.34
22	Sverre Johannesen ( NOR )	9.49	11.51	21.00
23	Hector Sutherland ( CAN )	10.60	11.12	21.72
24	Claude Penz ( FRA )	13.46	9.52	22.98
25	Steve Knowlton ( USA )	17.32	6.43	23.75
26	Barney McLean ( USA )	19.42	5.73	25.15
27	Józef Marusarz ( POL )	14.01	11.95	25.96
28	Pentti Alonen ( FIN )	15.22	11.16	26.38
29	Robert Blatt ( USA )	18.09	9.74	27.83
30	Péter Szikla ( HUN )	19.75	9.39	29.14
31	Jan Gąsienica Ciaptak ( POL )	14.67	16.45	31.12
32	Stein Eriksen ( NOR )	11.14	21.36	32.50
33	Daniel Šlachta ( TCH )	19.20	15.21	34.41
34	Slavko Lukanc ( YUG )	23.28	12.17	35.45
35	Tamás Székely ( HUN )	22.62	15.17	37.79
36	Wilbur Irwin ( CAN )	25.71	13.54	39.25
37	Matevž Lukanc ( YUG )	30.68	12.13	42.81
38	Hernán Oelkers ( CHI )	25.05	17.78	42.83
39	Philippe d'Ursel ( BEL )	30.90	14.24	45.14
40	Dumitru Frăţilă ( ROU )	24.61	21.27	45.88
41	Ion Coliban ( ROU )	30.02	16.10	46.12
42	Michel Feron ( BEL )	21.85	24.67	46.52
42	Dumitru Sulică ( ROU )	24.72	21.80	46.52
44	David Madzhar ( BUL )	27.92	18.75	46.67
45	Donald Garrow ( GBR )	25.71	21.27	46.98
46	Károly Kővári ( HUN )	29.91	18.44	48.35
47	Franz Beck ( LIE )	24.06	24.31	48.37
48	Magnús Brynjólfsson ( ISL )	29.47	23.29	52.76
49	Albert Irwin ( CAN )	25.71	29.12	53.51
50	Poldi Schädler ( LIE )	35.86	18.62	54.48
51	Jože Bertoncelj ( YUG )	36.08	19.06	55.14
52	Jaime Errázuriz ( CHI )	34.09	26.82	60.91
53	Vasile Ionescu ( ROU )	32.67	28.81	61.48
54	José Arias ( ESP )	42.37	23.03	65.40
55	Dimitar Drazhev ( BUL )	39.83	25.94	65.77
56	Otto Jung ( ARG )	41.16	24.89	66.05
57	Arturo Hammersley ( CHI )	32.67	36.65	69.32
58	Theodor Sele ( LIE )	49.22	23.56	72.78
59	Thomas Morawitz ( ESP )	49.11	23.95	73.06
60	Gino de Pellegrín ( ARG )	49.87	23.42	73.29
61	Harry Taylor ( GBR )	45.68	30.31	75.99
62	Max Gassner ( LIE )	32.00	44.56	76.56
63	Luis de Ridder ( ARG )	30.57	49.54	80.11
64	Pablo Rosenkjer ( ARG )	55.94	28.68	84.62
65	Þórir Jónsson ( ISL )	61.79	27.61	89.40
66	Lajos Máté ( HUN )	40.83	48.79	89.62
67	Guðmundur Guðmundsson ( ISL )	67.30	37.81	105.11
–	Stig Sollander ( SWE )	16.10	—	DNF
–	Olle Dalman ( SWE )	16.21	—	DNF
–	Aimo Vartiainen ( FIN )	22.86	—	DNF
–	Jerzy Schindler ( POL )	30.12	—	DNF
–	James Palmer-Tomkinson ( GBR )	32.67	—	DNF
–	Gonzalo Domínguez ( CHI )	40.41	—	DNF
–	Dursun Bozkurt ( TUR )	56.54	—	DNF
–	Osman Yüce ( TUR )	63.00	—	DNF
–	José Vila ( ESP )	76.10	—	DNF
–	Fotios Mavriplis ( GRE )	90.46	—	DNF
–	Fernando Armiñán ( ESP )	91.62	—	DNF
