Week	Date	Opponent	Result	Attendance
1	September 7, 1981	at Cleveland Browns	W 44–14	78,904
2	September 13, 1981	Detroit Lions	W 28–23	51,264
3	September 20, 1981	at Kansas City Chiefs	W 42–31	63,866
4	September 27, 1981	at Denver Broncos	L 42–24	74,822
5	October 4, 1981	Seattle Seahawks	W 24–10	51,463
6	October 11, 1981	Minnesota Vikings	L 33–31	50,708
7	October 18, 1981	at Baltimore Colts	W 43–14	41,921
8	October 25, 1981	at Chicago Bears	L 20–17	52,906
9	November 1, 1981	Kansas City Chiefs	W 22–20	51,307
10	November 8, 1981	Cincinnati Bengals	L 40–17	51,259
11	November 16, 1981	at Seattle Seahawks	L 44–23	58,628
12	November 22, 1981	at Oakland Raiders	W 55–21	50,199
13	November 29, 1981	Denver Broncos	W 34–17	51,533
14	December 6, 1981	Buffalo Bills	L 28–27	51,488
15	December 13, 1981	at Tampa Bay Buccaneers	W 24–23	67,388
16	December 21, 1981	Oakland Raiders	W 23–10	52,279
