Place	Player	Country	Score	To par
1	Payne Stewart	United States	67-71=138	–2
T2	Woody Austin	United States	67-72=139	–1
T2	Ernie Els	South Africa	72-67=139	–1
T2	Greg Norman	Australia	73-66=139	–1
T5	Ken Green	United States	73-67=140	E
T5	Steve Jones	United States	74-66=140	E
T5	Davis Love III	United States	71-69=140	E
T5	Frank Nobilo	New Zealand	69-71=140	E
T5	Sam Torrance	Scotland	71-69=140	E
T10	Billy Andrade	United States	72-69=141	+1
T10	David Berganio, Jr.	United States	69-72=141	+1
T10	John Cook	United States	70-71=141	+1
T10	John Daly	United States	72-69=141	+1
T10	Jim Furyk	United States	72-69=141	+1
T10	Neal Lancaster	United States	74-67=141	+1
T10	Masashi Ozaki	Japan	69-72=141	+1
T10	Scott Simpson	United States	70-71=141	+1
T10	Tom Watson	United States	70-71=141	+1
