Road race	Distance	Location	Country	Month held
Maraton de Santiago	Marathon	Santiago	Chile	April
Pyongyang Marathon	Marathon	Pyongyang	North Korea	April
Brighton Marathon	Marathon	Brighton	United Kingdom	April
Nagano Marathon	Marathon	Nagano	Japan	April
Düsseldorf Marathon	Marathon	Düsseldorf	Germany	April
Hannover Marathon	Marathon	Hannover	Germany	May
Riga Marathon	Marathon	Riga	Latvia	May
Gifu Seiryu Half Marathon	Half marathon	Gifu	Japan	May
Edinburgh Marathon	Marathon	Edinburgh	United Kingdom	May
Corrida de Langueux	10 km	Langueux	France	June
Vidovdan 10K	10 km	Brčko	Bosnia and Herzegovina	June
Gold Coast Marathon	Marathon	Gold Coast	Australia	July
Siberian International Marathon	Marathon	Omsk	Russia	September
Paris 20K	20 km	Paris	France	October
Beirut Marathon	20 km	Beirut	Lebanon	November
Alpes-Maritimes Marathon	Marathon	Nice	France	November
Valencia Marathon	Marathon	Valencia	Spain	November
