Match Day	Date	Opponent	Score	League Position	Attendance	Report
1	9 August	Inverness CT	0–2	12	12,659	BBC Sport
2	16 August	Motherwell	1–0	8	5,872	BBC Sport
3	23 August	Rangers	1–1	8	16,849	BBC Sport
4	30 August	St. Mirren	1–0	6	4,680	BBC Sport
5	13 September	Hamilton Academical	1–2	8	10,865	BBC Sport
6	20 September	Dundee United	0–1	8	11,041	BBC Sport
7	27 September	Celtic	2–3	11	58,565	BBC Sport
8	4 October	Hibernian	1–2	12	10,793	BBC Sport
9	18 October	Falkirk	1–0	10	5,662	BBC Sport
10	25 October	Heart of Midlothian	1–1	8	14,265	BBC Sport
11	1 November	Kilmarnock	1–0	7	10,599	BBC Sport
12	8 November	Dundee United	1–2	8	9,490	BBC Sport
13	11 November	St. Mirren	2–0	4	9,452	BBC Sport
14	15 November	Hibernian	2–2	6	11,640	BBC Sport
15	22 November	Rangers	0–2	7	50,166	BBC Sport
16	29 November	Motherwell	2–0	5	10,302	BBC Sport
17	13 December	Falkirk	2–1	6	8,909	BBC Sport
18	20 December	Inverness CT	3–0	5	5,862	BBC Sport
19	27 December	Heart of Midlothian	1–0	5	18,021	BBC Sport
20	3 January	Hamilton Academical	0–2	5	4,334	BBC Sport
21	13 January	Kilmarnock	2–1	4	4,354	BBC Sport
22	18 January	Celtic	4–2	3	18,100	BBC Sport
23	24 January	Rangers	0–0	5	20,441	BBC Sport
24	31 January	Falkirk	0–1	5	5,605	BBC Sport
25	14 February	Heart of Midlothian	1–2	5	15,049	BBC Sport
26	21 February	Dundee United	2–2	5	14,673	BBC Sport
27	28 February	Kilmarnock	0–0	5	11,457	BBC Sport
28	3 March	St. Mirren	1–1	5	4,383	BBC Sport
29	14 March	Hamilton Academical	1–0	4	10,312	BBC Sport
30	21 March	Hibernian	0–0	4	11,754	BBC Sport
31	4 April	Motherwell	1–1	4	4,686	BBC Sport
32	11 April	Inverness CT	1–0	4	11,114	BBC Sport
33	18 April	Celtic	0–2	5	58,581	BBC Sport
34	2 May	Celtic	1–3	5	14,752	BBC Sport
35	7 May	Dundee United	1–1	5	10,407	BBC Sport
36	13 May	Heart of Midlothian	0–0	5	11,588	BBC Sport
37	16 May	Rangers	1–2	5	50,295	BBC Sport
38	24 May	Hibernian	2–1	4	14,083	BBC Sport
