Episode	Contest	Original airdate	Challengers (Female)	Challengers (Male)	Events
1	Behind the scenes special	5 August 1995	N/A	N/A	N/A
2	Ashes Heat 1	12 August 1995	Kerryn Sampey (UK) Vs Kerry Warman (AUS)	Phil Campbell (UK) Vs David Wallis (AUS)	Pyramid, Hang Tough, Wall, Suspension Bridge
3	Ashes Heat 2	19 August 1995	Euince Huthart (UK) Vs Nellie Baker (AUS)	Matt Beeke (UK) Vs Andrew Halliday (AUS)	Powerball, Duel, Gauntlet, Wall
4	Ashes Final	26 August 1995	Eunice Huthart (UK) Vs Kerryn Sampey (UK)	Andrew Halliday (AUS) Vs Dave Wallis (AUS)	Gauntlet, Duel, Pyramid, Hang Tough
5	Heat 1	2 September 1995	Kathy McMorrow Vs Claire Sudran	Scott Brewer Vs Jonathan	Powerball, Swingshot, Whiplash, Pyramid
6	Heat 2	9 September 1995	Leanne Hickey Vs Bernadinne Wilde	Tommy Le Vs Rowan	Hang Tough, Powerball, Pursuit, Wall
7	Heat 3	16 September 1995	Kim Foley Vs Charity Crosby	Kris Lacey Vs Kane	Powerball, Duel, Pyramid, Tilt 1
9	Heat 5	30 September 1995	Lourene Bevaart Vs Rhonda Broughton	Martin Vs Dominic	Pyramid, Hit & Run, Duel, Swingshot
10	Heat 6	7 October 1995	Melanie Walters Vs Karen Trent	Mark Labourie 2 Vs Joe Lukowski	Gauntlet, Duel, Pursuit, Hang Tough
11	Heat 7	14 October 1995	Nicole Singleton Vs Tamsin	Steve Vs Russell	Suspension Bridge, Pyramid, Atlasphere, Whiplash
12	Heat 8	21 October 1995	Sandra Nori Vs Belinda Panizza	Shane Saltmarsh Vs Matthew Dugard	Gauntlet, Swingshot, Pursuit 3 , Hang Tough
13	Quarter Final 1	28 October 1995	Kathy McMorrow & Kim Knott	Shane Saltmarsh & Neil Campbell	Suspension Bridge, Powerball, Wall, Swingshot
14	Quarter Final 2	4 November 1995	Charity Crosby Vs Sandra Nori/ Claire Sudran 4	Dominic Vs Scott Brewer	Hang Tough, Pyramid, Pursuit, Duel
15	Quarter Final 3	11 November 1995	Lourene Bevaart Vs Nicole Singleton	Tommy Le Vs Joe Lukowski	Gauntlet, Pursuit, Pyramid, Hit & Run
16	Quarter Final 4	18 November 1995	Leanne Hickey Vs Karen Trent	Kris Lacey Vs Steve	Duel, Hang Tough, Atlasphere, Wall
17	Semi Final 1	25 November 1995	Lourene Bevaart Vs Karen Trent	Joe Lukowski Vs Scott Brewer	Wall, Gauntlet, Swingshot, Hit & Run
18	Semi Final 2	2 December 1995	Kathy McMorrow Vs Charity Crossby	Kris Lacey Vs Shane Saltmarsh	Powerball, Hang Tough, Suspension Bridge, Wall
19	Final	9 December 1995	Lourene Bevaart Vs Kathy McMorrow	Shane Saltmarsh Vs Joe Lukowski	Gauntlet, Swingshot, Duel, Pyramid
27	Sports Athletes 1	13 April 1996	Karla Gilbert Vs Emma George	Chris Fydler Vs Peter Winters	Wall, Whiplash, Swingshot, Duel
28	Sports Athletes 2	20 April 1996	Shelley Oates Vs Nikki Andronicos	Guy Andrews Vs Sean Carlan	Pyramid, Atlasphere, Hang Tough, Suspension Bridge
