Pick #	Player	Position	Nationality	NHL team	College/junior/club team
85	Kevin Kaiser	Left Wing	Canada	Quebec Nordiques	University of Minnesota Duluth (NCAA)
86	Jace Reed	Defence	United States	New York Islanders	Grand Rapids High School (USHS-MN)
87	Pat MacLeod	Defence	Canada	Minnesota North Stars	Kamloops Blazers (WHL)
88	Aaron Miller	Defence	United States	New York Rangers	Niagara Falls Canucks (GHJHL)
89	Mike Heinke	Goaltender	United States	New Jersey Devils	Avon Old Farms (USHS-CT)
90	Steve Young	Right Wing	Canada	New York Islanders	Moose Jaw Warriors (WHL)
91	Bryan Schoen	Goaltender	United States	Minnesota North Stars	Minnetonka High School (USHS-MN)
92	Peter White	Centre	Canada	Edmonton Oilers	Michigan State University (NCAA)
93	Daniel Lapierriere	Defence	Canada	St. Louis Blues	St. Lawrence University (NCAA)
94	James Black	Defence	Canada	Hartford Whalers	Portland Winter Hawks (WHL)
95	Shawn McCosh	Centre	Canada	Detroit Red Wings	Niagara Falls Thunder (OHL)
96	Keith Carney	Defence	United States	Toronto Maple Leafs	Mount St. Charles Academy (USHS-RI)
97	Rhys Hollyman	Defence	Canada	Minnesota North Stars	Miami University (NCAA)
98	Ken Sutton	Defence	Canada	Buffalo Sabres	Saskatoon Blades (WHL)
99	Keith O'Sullivan	Defence	United States	New York Islanders	Catholic Memorial High School (USHS-MA)
100	Tom Nevers	Centre	United States	Pittsburgh Penguins	Edina High School (USHS-MN)
101	Mark Montanari	Centre	Canada	Boston Bruins	Kitchener Rangers (OHL)
102	Eric Richard	Defence	Canada	Los Angeles Kings	Granby Bisons (QMJHL)
103	Tom Newman	Goaltender	United States	Los Angeles Kings	Blaine High School (USHS-MN)
104	Marc Deschamps	Defence	Canada	Montreal Canadiens	Cornell University (NCAA)
105	Francis Kearney	Left Wing	United States	Calgary Flames	Hermantown Senior School (USHS-MN)
