Season	Date	Winning Driver	Car #	Sponsor	Make	Team	Avg Speed	Margin of Victory
1993	July 11	Rusty Wallace	2	Miller Genuine Draft	Pontiac Grand Prix	Penske Racing	mph (km/h)	1.31 sec
1994	July 10	Ricky Rudd	10	Tide	Ford Thunderbird	Rudd Performance Motorsports	mph (km/h)	0.69 sec
1995	July 9	Jeff Gordon	24	DuPont	Chevrolet Monte Carlo	Hendrick Motorsports	mph (km/h)	1.23 sec
1996	July 14	Ernie Irvan	28	Texaco Havoline	Ford Thunderbird	Robert Yates Racing	mph (km/h)	5.47 sec
1997	July 13	Jeff Burton	99	Exide Batteries	Ford Thunderbird	Roush Racing	mph (km/h)	5.372 sec
1997	September 14	Jeff Gordon	24	DuPont	Chevrolet Monte Carlo	Hendrick Motorsports	mph (km/h)	0.209 sec
1998	July 13	Jeff Burton	99	Exide Batteries	Ford Taurus	Roush Racing	mph (km/h)	7.439 sec
1998	August 30	Jeff Gordon	24	DuPont	Chevrolet Monte Carlo	Hendrick Motorsports	mph (km/h)	0.664 sec
1999	July 11	Jeff Burton	99	Exide Batteries	Ford Taurus	Roush Racing	mph (km/h)	1.347 sec
1999	September 19	Joe Nemechek	42	BellSouth	Chevrolet Monte Carlo	Team SABCO	mph (km/h)	UC
2000	July 9	Tony Stewart	20	Home Depot	Pontiac Grand Prix	Joe Gibbs Racing	mph (km/h)	UC/Rain
2000	September 17	Jeff Burton	99	Exide Batteries	Ford Taurus	Roush Racing	mph (km/h)	UC
2001	July 22	Dale Jarrett	88	UPS	Ford Taurus	Robert Yates Racing	mph (km/h)	0.656 sec
2001	November 23	Robby Gordon	31	Lowe's	Chevrolet Monte Carlo	Richard Childress Racing	mph (km/h)	2.008 sec
2002	July 21	Ward Burton	22	Caterpillar	Dodge Intrepid	Bill Davis Racing	mph (km/h)	0.656 sec
2002	September 15	Ryan Newman	12	Mobil 1 / Alltel	Ford Taurus	Penske Racing	mph (km/h)	UC/Rain
2003	July 20	Jimmie Johnson	48	Lowe's	Chevrolet Monte Carlo	Hendrick Motorsports	mph (km/h)	1.582 sec
2003	September 14	Jimmie Johnson	48	Lowe's	Chevrolet Monte Carlo	Hendrick Motorsports	mph (km/h)	6.240 sec
2004	July 25	Kurt Busch	97	Irwin Industrial Tools	Ford Taurus	Roush Racing	mph (km/h)	0.607 sec
2004	September 19	Kurt Busch	97	Irwin Industrial Tools	Ford Taurus	Roush Racing	mph (km/h)	2.488 sec
2005	July 17	Tony Stewart	20	Home Depot	Chevrolet Monte Carlo	Joe Gibbs Racing	mph (km/h)	0.851 sec
2005	September 18	Ryan Newman	12	Mobil 1 / Alltel	Dodge Charger	Penske Racing	mph (km/h)	0.292 sec
2006	July 16	Kyle Busch	5	Kellogg's	Chevrolet Monte Carlo	Hendrick Motorsports	mph (km/h)	0.406 sec
2006	September 17	Kevin Harvick	29	Reese's	Chevrolet Monte Carlo	Richard Childress Racing	mph (km/h)	0.777 sec
2007	July 1	Denny Hamlin	11	FedEx Ground	Chevrolet Impala SS	Joe Gibbs Racing	mph (km/h)	0.068 sec
2007	September 16	Clint Bowyer	07	Jack Daniel's	Chevrolet Impala SS	Richard Childress Racing	mph (km/h)	6.469 sec
2008	June 29	Kurt Busch	2	Miller Lite	Dodge Charger	Penske Racing	mph (km/h)	UC/Called due to rain
2008	September 14	Greg Biffle	16	Dish Network Turbo HD	Ford Fusion	Roush Fenway Racing	mph (km/h)	0.505 sec
2009	June 28	Joey Logano	20	Home Depot	Toyota Camry	Joe Gibbs Racing	mph (km/h)	UC/Called due to rain
2009	September 20	Mark Martin	5	Carquest / Kellogg's	Chevrolet Impala SS	Hendrick Motorsports	mph (km/h)	UC
2010	June 27	Jimmie Johnson	48	Lowe's	Chevrolet Impala	Hendrick Motorsports	mph (km/h)	0.753 sec
2010	September 19	Clint Bowyer	33	Cheerios / Hamburger Helper	Chevrolet Impala	Richard Childress Racing	mph (km/h)	0.477 sec
2011	July 17	Ryan Newman	39	U.S. Army	Chevrolet Impala	Stewart-Haas Racing	mph (km/h)	0.773 sec
2011	September 25	Tony Stewart	14	Mobil 1 / Office Depot	Chevrolet Impala	Stewart-Haas Racing	mph (km/h)	7.225 sec
2012	July 15	Kasey Kahne	5	Farmers Insurance	Chevrolet Impala	Hendrick Motorsports	mph (km/h)	2.738 sec
2012	September 23	Denny Hamlin	11	FedEx Freight	Toyota Camry	Joe Gibbs Racing	mph (km/h)	2.675 sec
2013	July 14	Brian Vickers	55	Aaron's	Toyota Camry	Michael Waltrip Racing	mph (km/h)	.582 sec
2013	September 22	Matt Kenseth	20	Husky Tools	Toyota Camry	Joe Gibbs Racing	mph (km/h)	.533 sec
