Season	Team	Country	League	Level	Apps
2001	Astana	Kazakhstan	Premier League	1	0
2002	Astana	Kazakhstan	Premier League	1	2
align="left"|Akzhayik Astana	Kazakhstan	Second Division	3	6	4
2003	Ekibastuzets	Kazakhstan	Premier League	1	2
align="left"|Zhastar Astana	Kazakhstan	First Division	2	10	3
2004	Eurasia Astana	Kazakhstan	First Division	2	10
align="left"|Astana	Kazakhstan	Premier League	1	10	0
2005	Astana	Kazakhstan	Premier League	1	1
2006	Astana	Kazakhstan	Premier League	1	28
2007	Astana	Kazakhstan	Premier League	1	27
2007–08	Royal Antwerp	Belgium	Second Division	2	1
2008	Astana	Kazakhstan	Premier League	1	7
2009	Zhetysu	Kazakhstan	Premier League	1	8
2010	Irtysh Pavlodar	Kazakhstan	Premier League	1	24
