Res.	Record	Opponent	Method	Event	Round	Location
Loss	9-17-1	Choi Mu-Bae	Decision (unanimous)	Pancrase - Changing Tour 3	2	Tokyo , Japan
Loss	9-16-1	Lee Sang-Soo	TKO (punches)	DEEP - Gladiator	1	Okayama , Japan
Loss	9-15-1	Jessie Gibbs	TKO (knees and punches)	M-1 Global	1	Tokyo , Japan
Loss	9-14-1	Akhmet Sultanov	Submission (armbar)	M-1 - Challenge 2008 Selections	1	St. Petersburg , Russia
Loss	9-13-1	Yasuhito Namekawa	Decision (majority)	DEEP - 32 Impact	2	Tokyo , Japan
Win	9-12-1	Yuji Sakuragi	Decision (majority)	DEEP - Glove	2	Tokyo , Japan
Loss	8-12-1	Jyunpei Hamada	Decision (split)	MARS 6 - Rapid Fire	2	Yokohama , Japan
Loss	8-11-1	Elvis Sinosic	Submission (armbar)	X-plosion - X-plosion	1	Australia
Loss	8-10-1	Igor Vovchanchyn	KO	PRIDE - Bushido 5	1	Osaka , Japan
Win	8-9-1	Jin O Kim	Submission (rear naked choke)	PRIDE - Bushido 3	1	Yokohama , Japan
Win	7-9-1	Hiroya Takada	Decision (majority)	Pancrase - 2002 Anniversary Show	3	Yokohama , Japan
Loss	6-9-1	Mikhail Ilyukhin	Submission (guillotine choke)	PC - Premium Challenge	1	Tokyo , Japan
Win	6-8-1	Mike Thomas	Submission (knee bar)	TF - Tropical Fights 3	1	Tahiti
Loss	5-8-1	Hirotaka Yokoi	Decision (unanimous)	Rings - World Title Series Grand Final	3	Yokohama , Japan
Loss	5-7-1	Kazuo Takahashi	TKO (punches)	Pancrase - Proof 7	1	Yokohama , Japan
Win	5-6-1	Osami Shibuya	Decision (unanimous)	Pancrase - 2001 Anniversary Show	3	Kanagawa , Japan
Win	4-6-1	Jason DeLucia	TKO (knee injury)	Pancrase - 2001 Anniversary Show	1	Kanagawa , Japan
Loss	3-6-1	Antônio Rogério Nogueira	Technical Submission (armbar)	Deep - 2nd Impact	1	Yokohama , Japan
Draw	3-4-1	Jason DeLucia	Draw	Pancrase - Trans 7	1	Tokyo , Japan
Win	3-4	Johnny Huskey	Submission (keylock)	Pancrase - Trans 6	1	Tokyo , Japan
Loss	2-4	Kenichi Yamamoto	Submission (kneebar)	UFC 23	1	Tokyo , Japan
Win	2-3	Masutatsu Yano	TKO (punches)	UFC 23	2	Tokyo , Japan
Loss	1-3	Kohei Sato	TKO (punches)	Shooto - Renaxis 2	1	Tokyo , Japan
Win	1-2	Daniel Quonian	TKO (punches)	Shooto - Reconquista 2	1	Tokyo , Japan
Loss	0-2	David Paaluhi	TKO (punches)	SB 2 - SuperBrawl 2	1	Hawaii , United States
Loss	0-1	Ryuta Sakurai	Decision	Lumax Cup - Tournament of J '96	2	Japan
