Province, Community	Contestant	Age	Height	Hometown	Geographical Regions
Azua	Aurys Sánchez Tejada	20	1.80	Santo Domingo	Sur
Barahona	Laura Sadhalá Roman	19	1.77	Santiago de los Caballeros	Sur
Com. Dom. Miami	Cristal de Moya Vargas	22	1.73	Miami	Exterior
Com. Dom. Nueva Jersey	Sandra Elisabeth Tavares Valle	18	1.83	Newark	Exterior
Com. Dom. Nueva York	Yamilka Massiel Santana Colón	18	1.74	The Bronx	Exterior
Com. Dom. Orlando	Berkelin Rosario Castellanos	23	1.79	Orlando	Exterior
Dajabón	Indhira Díaz Acosta	20	1.76	Loma de Cabrera	El Cibao
Distrito Nacional	Jennifer Pérez de la Cruz	20	1.79	Santo Domingo	Sur
Santiago	Valerie Chardonnens Vargas	18	1.81	Santiago de los Caballeros	El Cibao
La Romana	Tania Yolanda Medina Collado	24	1.68	La Romana	Sur
La Vega	Sarah Cristina Portes Carillo	22	1.73	Constanza	El Cibao
Monte Plata	Zadia Núñez de la Cruz	25	1.75	Villa Bisonó	Sur
Puerto Plata	Ana Carolina Viñas Machado	21	1.83	Santiago de los Caballeros	El Cibao
Santiago	Paola María Torres Cohén	21	1.73	Santiago de los Caballeros	El Cibao
Santo Domingo	Alexandra Díaz Bello	22	1.78	Santo Domingo	Sur
