Name of horse	Year inducted	Year foaled	Sire	Broodmare sire	Discipline
Baby Doll Combs	2004	1947	Oklahoma Star Jr	Bert	Rodeo Steer Westling
Barbara L	2007	1947	Patriotic (TB)	Sonora Harmon	Racing
Beduino (TB)	2008	1968	Romany Royal (TB)	Rejected (TB)	Racing
Bert	2007	1934	Tommy Clegg	Beech's Yellow Jacket	Breeding stallion
Billy Clegg	1998	1932	Paul Ell	Billy Sunday	Breeding stallion
Black Easter Bunny	2002	1949	Hysition (TB)	Chicaro Bill	Racing
Blondy's Dude	2001	1957	Small Town Dude	Blondy Plaudit	Halter
Charger Bar	2001	1968	Tiny Charger	Rocket Bar (TB)	Racing
Cherry Lake (TB)	1998	1966	Lake Erie (TB)	Nechao (TB)	Racing
Chicado V	2006	1950	Chicaro Bill	St. Louis	Racing
Chicks Beduino	2007	1984	Beduino (TB)	Chick's Deck	Racing
Clabber	1997	1936	My Texas Dandy	Lone Star	Racing
Colonel Freckles	2004	1973	Jewel's Leo Bars	Rey Jay	Cutting
Country Classic	2001	1969	Rey Jay	Leo Bob	Showing
Cutter Bill	2003	1955	Buddy Dexter	Silvertone	Cutting
Dash For Cash	1997	1973	Rocket Wrangler	To Market (TB)	Racing
Depth Charge (TB)	1991	1941	Bold Venture (TB)	Haste (TB)	Racing sire
Diamonds Sparkle	2007	1974	Mr Diamond Dude	Clabber Question	Showing
Do Good	2008	1938	St Louis	Duggan	Broodmare
Doc Bar	1993	1956	Lightning Bar	Texas Dandy	Breeding stallion
Doc O'Lena	1997	1967	Doc Bar	Poco Bueno	Halter Cutting sire
Driftwood	2006	1932	Miller Boy	Barlow	Breeding stallion
Easy Date	2002	1972	Easy Jet	Roman Sandal (TB)	Racing
Easy Jet	1993	1967	Jet Deck	Three Bars (TB)	Racing
Expensive Hobby	2007	1971	Hobby Horse	Stormy's Sugar	Showing
First Down Dash	2011	1984	Dash For Cash	Gallant Jet	Breeding Stallion
FL Lady Bug	1999	1945	Sergeant	Will Stead	Broodmare
Garrett's Miss Pawhuska	2006	1946	Leo	Jimmie Allred	Racing
Go Man Go	1990	1953	Top Deck (TB)	Very Wise (TB)	Racing
Goetta	2007	1961	Go Man Go	Leo	Racing
Grey Badger II	2007	1941	Midnight Jr	Billy The Tough	Racing
Jackie Bee	2008	1962	Jimmy Mac Bee	Jack R	Breeding stallion
Hollywood Dun It	2012	1983	Hollywood Jac 86	Dun Berry	Breeding stallion
Indigo Illusion	2012	1981	Beduino (TB)	Duplicate Copy	Broodmare
Jet Deck	1991	1960	Moon Deck	Barred	Racing
Joe Cody	1995	1952	Bill Cody	King P-234	Reining
Joe Hancock P-455	1992	c1926	John Wilkens	Percheron stud	Racing
