Date	Opponent	Score	Loss	Record
August 1	@ Cubs	3–2	Thomson (5–8)	48–62
August 2	@ Cubs	6–3	Clark (6–11)	49–62
August 3	@ Pirates	7–2	Lieber (8–12)	50–62
August 4	@ Pirates	13–5	Kile (7–14)	50–63
August 5	@ Pirates	6–2	Córdova (9–10)	51–63
August 6	@ Pirates	5–1	Schmidt (8–9)	52–63
August 7	Mets	8–7	Astacio (10–11)	52–64
August 8	Mets	4–3	Jones (5–5)	52–65
August 9	Mets	11–4	Nomo (5–9)	53–65
August 10	Expos	6–2	Telford (3–5)	54–65
August 11	Expos	15–6	Powell (1–2)	55–65
August 12	Expos	3–2	Vázquez (3–12)	56–65
August 14	Phillies	6–2	Jones (5–6)	56–66
August 15	Phillies	7–3	Gomes (9–4)	57–66
August 16	Phillies	8–7	Wright (7–11)	57–67
August 18	@ Mets	6–2	Astacio (11–12)	57–68
August 18	@ Mets	6–3	McElroy (4–3)	57–69
August 19	@ Mets	2–1	Jones (5–7)	57–70
August 20	@ Expos	6–3	Thurman (2–2)	58–70
August 21	@ Expos	3–2	Urbina (4–3)	59–70
August 22	@ Phillies	6–1	Astacio (11–13)	59–71
August 23	@ Phillies	5–2	Grace (4–7)	60–71
August 24	@ Phillies	3–1	Loewer (6–5)	61–71
August 25	Brewers	11–6	Weathers (4–5)	62–71
August 26	Brewers	6–5	Wright (7–12)	62–72
August 27	Cubs	11–10 (10)	Munoz (2–2)	62–73
August 28	Cubs	10–5	Thomson (8–9)	62–74
August 29	Cubs	7–3	Clark (7–13)	63–74
August 30	Cubs	4–3	Kile (10–15)	63–75
