Stage	Date	Course	Distance	Winner
1	10 May	Madrid – Salamanca	km (mi)	Julián Berrendero ( ESP )
2	11 May	Salamanca – Cáceres	km (mi)	Delio Rodríguez ( ESP )
3	12 May	Cáceres – Badajoz	km (mi)	Miguel Gual ( ESP )
4a	13 May	Badajoz – Almendralejo	km (mi)	Juan Gimeno ( ESP )
4b	13 May	Almendralejo – Sevilla	km (mi)	Vicente Miro ( ESP )
5	15 May	Sevilla – Granada	km (mi)	Antonio Montes ( ESP )
6	16 May	Granada – Murcia	km (mi)	Joaquin Olmos ( ESP )
7	17 May	Murcia – Valencia	km (mi)	Delio Rodríguez ( ESP )
8	19 May	Valencia – Tortosa	km (mi)	Delio Rodríguez ( ESP )
9	20 May	Tortosa – Barcelona	km (mi)	Miguel Gual ( ESP )
10	21 May	Barcelona – Zaragoza	km (mi)	Miguel Gual ( ESP )
11	22 May	Zaragoza – San Sebastián	km (mi)	José Gutierrez ( ESP )
12	24 May	San Sebastián – Bilbao	km (mi)	Joao Rebelo ( POR )
13	25 May	Bilbao – Santander	km (mi)	Delio Rodríguez ( ESP )
14	26 May	Santander – Reinosa	km (mi)	Joao Rebelo ( POR )
15	27 May	Reinosa – Gijón	km (mi)	Delio Rodríguez ( ESP )
16	29 May	Gijón – León	km (mi)	Julián Berrendero ( ESP )
17	30 May	León – Valladolid	km (mi)	Delio Rodríguez ( ESP )
18	31 May	Valladolid – Madrid	km (mi)	Joaquin Olmos ( ESP )
