Heat	Lane	Name	Nationality	Time
8	2	Dominik Meichtry	Switzerland	1:45.80
6	4	Jean Basson	South Africa	1:46.31
6	2	Brent Hayden	Canada	1:46.40
8	4	Michael Phelps	United States	1:46.48
6	3	Colin Russell	Canada	1:46.58
8	5	Park Tae-Hwan	South Korea	1:46.73
8	3	Danila Izotov	Russia	1:46.80
8	7	Yoshihiro Okumura	Japan	1:46.89
6	7	Emiliano Brembilla	Italy	1:47.04
7	5	Paul Biedermann	Germany	1:47.09
8	6	Ross Davenport	Great Britain	1:47.13
7	4	Peter Vanderkaay	United States	1:47.39
6	5	Amaury Leveaux	France	1:47.44
6	6	Nicholas Sprenger	Australia	1:47.64
5	6	Nimrod Shapira Bar-Or	Israel	1:47.78
8	1	Dominik Koll	Austria	1:47.81
7	7	Robbie Renwick	Great Britain	1:47.82
6	1	Rodrigo Castro	Brazil	1:47.87
6	8	Oussama Mellouli	Tunisia	1:47.97
7	3	Alexander Sukhorukov	Russia	1:47.97
5	5	Darian Townsend	South Africa	1:48.08
7	6	Kenrick Monk	Australia	1:48.17
5	1	Sergiy Advena	Ukraine	1:48.18
5	4	Sho Uchida	Japan	1:48.34
7	8	Romāns Miloslavskis	Latvia	1:48.41
5	2	Shaune Fraser	Cayman Islands	1:48.60
4	4	Gard Kvale	Norway	1:48.73
7	2	Massimiliano Rosolino	Italy	1:48.76
5	3	Andreas Zisimos	Greece	1:48.82
5	8	Glenn Surgeloose	Belgium	1:48.92
4	7	Jon Raahauge Rud	Denmark	1:48.96
3	5	Ryan Pini	Papua New Guinea	1:49.04
7	1	Zhang Enjian	China	1:49.15
8	8	Łukasz Gąsior	Poland	1:49.25
4	5	Norbert Kovács	Hungary	1:49.34
4	6	Martín Kutscher	Uruguay	1:49.61
3	1	Dominik Straga	Croatia	1:49.63
4	3	Christoffer Wikström	Sweden	1:49.84
5	7	Tiago Venâncio	Portugal	1:50.24
3	7	Radovan Siljevski	Serbia	1:50.25
2	6	Bryan Tay	Singapore	1:50.41
3	3	Crox Acuña	Venezuela	1:50.52
3	2	Julio Galofre	Colombia	1:50.62
3	6	Daniel Bego	Malaysia	1:50.92
2	5	Vladimir Sidorkin	Estonia	1:51.27
4	2	Květoslav Svoboda	Czech Republic	1:51.67
3	8	Saulius Binevičius	Lithuania	1:51.80
4	8	Virdhawal Khade	India	1:51.86
4	1	Raphael Stacchiotti	Luxembourg	1:52.01
2	3	Mario Montoya	Costa Rica	1:52.19
2	4	Mahrez Mebarek	Algeria	1:52.66
2	2	Artur Dilman	Kazakhstan	1:52.90
1	4	Irakli Revishvili	Georgia	1:53.60
2	1	Ibrahim Nazarov	Uzbekistan	1:56.27
1	3	Mihajlo Ristovski	Macedonia	1:57.45
2	7	Andrei Zaharov	Moldova	1:58.62
1	5	Emanuele Nicolini	San Marino	1:59.47
3	4	Luka Turk	Slovenia	DNS
