Game	Date	Opponent	Score	Location	Record
10	November 1	Houston Rockets	104–108	Philadelphia Spectrum	0–10
11	November 3	Kansas City–Omaha Kings	101–114	Philadelphia Spectrum	0–11
12	November 4	@ Atlanta Hawks	120–128	Omni Coliseum	0–12
13	November 5	@ Milwaukee Bucks	113–131	Milwaukee Arena	0–13
14	November 8	@ Kansas City-Omaha Kings	107–125	Omaha Civic Auditorium	0–14
15	November 10	New York Knicks	106–125	Philadelphia Spectrum	0–15
16	November 11	N Houston Rockets	114–112	(San Antonio, TX)	1–15
17	November 12	@ Phoenix Suns	108–119	Arizona Veterans Memorial Coliseum	1–16
18	November 16	@ Golden State Warriors	106–128	Oakland Arena	1–17
19	November 17	@ Seattle SuperSonics	92–105	Seattle Center Coliseum	1–18
20	November 19	@ Los Angeles Lakers	95–135	The Forum	1–19
21	November 24	N Buffalo Braves	96–105	(Hershey, PA)	1–20
22	November 25	Portland Trail Blazers	106–117	Philadelphia Spectrum	1–21
23	November 28	@ Buffalo Braves	101–94	Buffalo Memorial Auditorium	2–21
24	November 29	New York Knicks	91–139	Philadelphia Spectrum	2–22
