Week	Date	Opponent	Score	Result	Attendance	Record
1	June 26	at Calgary Stampeders	28–18	Loss	30,159	0–1
2	July 4	Saskatchewan Roughriders	26–16	Loss	33,813	0–2
3	July 11	at Winnipeg Blue Bombers	42–24	Win	26,735	1–2
4	July 18	Winnipeg Blue Bombers	27–18	Win	37,174	2–2
5	July 25	Montreal Alouettes	36–34	Win	30,132	3–2
6	July 31	at Edmonton Eskimos	35–24	Loss	35,008	3–3
7	Aug 8	Edmonton Eskimos	40–34	Win	30,863	4–3
8	Bye	Bye	Bye	Bye	Bye	4–3
9	Aug 22	Calgary Stampeders	36–29	Loss	34,221	4–4
10	Aug 29	at Montreal Alouettes	30–25	Loss	20,202	4–5
11	Sept 6	at Hamilton Tiger-Cats	35–12	Win	18,723	5–5
12	Sept 13	Saskatchewan Roughriders	28–23	Win	38,608	6–5
13	Sept 20	at Saskatchewan Roughriders	27–21	Win	30,945	7–5
14	Sept 27	Hamilton Tiger-Cats	40–10	Win	31,161	8–5
15	Oct 3	at Toronto Argonauts	24–20	Win	28,273	9–5
16	Oct 10	Edmonton Eskimos	27–20	Loss	34,778	9–6
17	Oct 17	at Edmonton Eskimos	43–28	Win	34,342	10–6
18	Oct 25	Toronto Argonauts	55–32	Win	35,994	11–6
19	Nov 1	at Calgary Stampeders	41–30	Loss	30,275	11–7
